DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-test-19,deploy-test-19-fc9f66f67-5ldpg,2024-05-16T19:30:42+02:00,2024-05-16 19:30:43 +0200 CEST,2024-05-16 19:30:43 +0200 CEST,2024-05-16 19:30:45 +0200 CEST,2024-05-16 19:30:45 +0200 CEST,2024-05-16 19:30:45 +0200 CEST,2024-05-16T19:31:48+02:00,2024-05-16T19:31:49+02:00
deploy-test-27,deploy-test-27-5dd7998b8d-t44zd,2024-05-16T19:30:43+02:00,2024-05-16 19:30:46 +0200 CEST,2024-05-16 19:30:46 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16T19:31:49+02:00,2024-05-16T19:31:50+02:00
deploy-test-33,deploy-test-33-5f4cc6c6dc-ccqpm,2024-05-16T19:30:44+02:00,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:49 +0200 CEST,2024-05-16 19:30:49 +0200 CEST,2024-05-16 19:30:49 +0200 CEST,2024-05-16T19:31:50+02:00,2024-05-16T19:31:51+02:00
deploy-test-50,deploy-test-50-86db49fd58-5zb82,2024-05-16T19:30:48+02:00,2024-05-16 19:30:51 +0200 CEST,2024-05-16 19:30:51 +0200 CEST,2024-05-16 19:30:52 +0200 CEST,2024-05-16 19:30:53 +0200 CEST,2024-05-16 19:30:53 +0200 CEST,2024-05-16T19:31:54+02:00,2024-05-16T19:31:55+02:00
deploy-test-69,deploy-test-69-566cb888bb-7g7vq,2024-05-16T19:30:51+02:00,2024-05-16 19:30:56 +0200 CEST,2024-05-16 19:30:56 +0200 CEST,2024-05-16 19:30:57 +0200 CEST,2024-05-16 19:30:57 +0200 CEST,2024-05-16 19:30:57 +0200 CEST,2024-05-16T19:31:58+02:00,2024-05-16T19:31:59+02:00
deploy-test-76,deploy-test-76-7799b87fd-cwmrs,2024-05-16T19:30:53+02:00,2024-05-16 19:30:58 +0200 CEST,2024-05-16 19:30:58 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16T19:31:59+02:00,2024-05-16T19:32:00+02:00
deploy-test-79,deploy-test-79-5c58c8c88f-phdsx,2024-05-16T19:30:53+02:00,2024-05-16 19:30:58 +0200 CEST,2024-05-16 19:30:58 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16 19:31:00 +0200 CEST,2024-05-16T19:32:00+02:00,2024-05-16T19:32:01+02:00
deploy-test-95,deploy-test-95-f5fcd544c-g9xxf,2024-05-16T19:30:57+02:00,2024-05-16 19:31:02 +0200 CEST,2024-05-16 19:31:02 +0200 CEST,2024-05-16 19:31:04 +0200 CEST,2024-05-16 19:31:04 +0200 CEST,2024-05-16 19:31:04 +0200 CEST,2024-05-16T19:32:03+02:00,2024-05-16T19:32:04+02:00
deploy-test-26,deploy-test-26-9797bcb5-gclzl,2024-05-16T19:30:43+02:00,2024-05-16 19:30:45 +0200 CEST,2024-05-16 19:30:45 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16 19:30:47 +0200 CEST,2024-05-16T19:31:49+02:00,2024-05-16T19:31:50+02:00
deploy-test-45,deploy-test-45-c66dc6984-hz6jz,2024-05-16T19:30:47+02:00,2024-05-16 19:30:50 +0200 CEST,2024-05-16 19:30:50 +0200 CEST,2024-05-16 19:30:52 +0200 CEST,2024-05-16 19:30:52 +0200 CEST,2024-05-16 19:30:52 +0200 CEST,2024-05-16T19:31:53+02:00,2024-05-16T19:31:54+02:00
