type,amount,platform
1716564349186,%CPU,1.45278%,K0_O3
1716564349271,%MEM,1.5Gi,K0_O3
1716564350906,%CPU,1.69903%,K0_O3
1716564350990,%MEM,1.5Gi,K0_O3
1716564352635,%CPU,1.67866%,K0_O3
1716564352713,%MEM,1.5Gi,K0_O3
1716564354351,%CPU,1.93237%,K0_O3
1716564354444,%MEM,1.5Gi,K0_O3
1716564356082,%CPU,1.9656%,K0_O3
1716564356191,%MEM,1.5Gi,K0_O3
1716564357852,%CPU,1.68675%,K0_O3
1716564357937,%MEM,1.5Gi,K0_O3
1716564359574,%CPU,1.93237%,K0_O3
1716564359667,%MEM,1.5Gi,K0_O3
1716564361339,%CPU,2.38663%,K0_O3
1716564361446,%MEM,1.5Gi,K0_O3
1716564363102,%CPU,1.70316%,K0_O3
1716564363197,%MEM,1.5Gi,K0_O3
1716564364888,%CPU,2.85714%,K0_O3
1716564364974,%MEM,1.5Gi,K0_O3
1716564366611,%CPU,1.45278%,K0_O3
1716564366713,%MEM,1.5Gi,K0_O3
1716564368367,%CPU,1.92308%,K0_O3
1716564368450,%MEM,1.5Gi,K0_O3
1716564370098,%CPU,2.15827%,K0_O3
1716564370186,%MEM,1.5Gi,K0_O3
1716564371836,%CPU,1.92308%,K0_O3
1716564371921,%MEM,1.5Gi,K0_O3
1716564373560,%CPU,2.16867%,K0_O3
1716564373659,%MEM,1.5Gi,K0_O3
1716564375296,%CPU,1.47059%,K0_O3
1716564375387,%MEM,1.5Gi,K0_O3
1716564377046,%CPU,1.92771%,K0_O3
1716564377133,%MEM,1.5Gi,K0_O3
1716564378775,%CPU,1.21065%,K0_O3
1716564378867,%MEM,1.5Gi,K0_O3
1716564380518,%CPU,2.17391%,K0_O3
1716564380615,%MEM,1.5Gi,K0_O3
1716564382276,%CPU,1.92308%,K0_O3
1716564382368,%MEM,1.5Gi,K0_O3
1716564384009,%CPU,1.92771%,K0_O3
1716564384103,%MEM,1.5Gi,K0_O3
1716564385753,%CPU,1.94175%,K0_O3
1716564385840,%MEM,1.5Gi,K0_O3
1716564387487,%CPU,1.93237%,K0_O3
1716564387571,%MEM,1.5Gi,K0_O3
1716564389218,%CPU,2.15827%,K0_O3
1716564389315,%MEM,1.5Gi,K0_O3
1716564390977,%CPU,1.93705%,K0_O3
1716564391072,%MEM,1.5Gi,K0_O3
1716564392721,%CPU,1.67464%,K0_O3
1716564392817,%MEM,1.5Gi,K0_O3
1716564394467,%CPU,1.69492%,K0_O3
1716564394563,%MEM,1.5Gi,K0_O3
1716564396230,%CPU,2.42131%,K0_O3
1716564396357,%MEM,1.5Gi,K0_O3
1716564398010,%CPU,1.21951%,K0_O3
1716564398096,%MEM,1.5Gi,K0_O3
1716564399729,%CPU,1.45985%,K0_O3
1716564399816,%MEM,1.5Gi,K0_O3
1716564401462,%CPU,1.7199%,K0_O3
1716564401552,%MEM,1.5Gi,K0_O3
1716564403201,%CPU,2.39808%,K0_O3
1716564403292,%MEM,1.5Gi,K0_O3
