type,amount,platform
1716564076825,%CPU,1.94647%,K0_O3
1716564076915,%MEM,1.5Gi,K0_O3
1716564078549,%CPU,1.44928%,K0_O3
1716564078633,%MEM,1.5Gi,K0_O3
1716564080278,%CPU,1.93237%,K0_O3
1716564080381,%MEM,1.5Gi,K0_O3
1716564082035,%CPU,1.44578%,K0_O3
1716564082149,%MEM,1.5Gi,K0_O3
1716564083792,%CPU,1.69082%,K0_O3
1716564083887,%MEM,1.5Gi,K0_O3
1716564085542,%CPU,1.45631%,K0_O3
1716564085629,%MEM,1.5Gi,K0_O3
1716564087264,%CPU,1.45278%,K0_O3
1716564087353,%MEM,1.5Gi,K0_O3
1716564088994,%CPU,1.71149%,K0_O3
1716564089088,%MEM,1.5Gi,K0_O3
1716564090750,%CPU,2.17918%,K0_O3
1716564090858,%MEM,1.5Gi,K0_O3
1716564092504,%CPU,1.69492%,K0_O3
1716564092586,%MEM,1.5Gi,K0_O3
1716564094235,%CPU,1.68675%,K0_O3
1716564094346,%MEM,1.5Gi,K0_O3
1716564096020,%CPU,2.27848%,K0_O3
1716564096135,%MEM,1.5Gi,K0_O3
1716564097793,%CPU,1.20482%,K0_O3
1716564097894,%MEM,1.5Gi,K0_O3
1716564099546,%CPU,1.91388%,K0_O3
1716564099668,%MEM,1.5Gi,K0_O3
1716564101317,%CPU,2.40964%,K0_O3
1716564101408,%MEM,1.5Gi,K0_O3
1716564103052,%CPU,1.46341%,K0_O3
1716564103147,%MEM,1.5Gi,K0_O3
1716564104800,%CPU,1.93237%,K0_O3
1716564104895,%MEM,1.5Gi,K0_O3
1716564106543,%CPU,2.29008%,K0_O3
1716564106636,%MEM,1.5Gi,K0_O3
1716564108282,%CPU,1.68675%,K0_O3
1716564108383,%MEM,1.5Gi,K0_O3
1716564110037,%CPU,1.45985%,K0_O3
1716564110131,%MEM,1.5Gi,K0_O3
1716564111773,%CPU,1.45278%,K0_O3
1716564111882,%MEM,1.5Gi,K0_O3
1716564113538,%CPU,1.91847%,K0_O3
1716564113631,%MEM,1.5Gi,K0_O3
1716564115263,%CPU,1.69903%,K0_O3
1716564115343,%MEM,1.5Gi,K0_O3
1716564116988,%CPU,2.16867%,K0_O3
1716564117079,%MEM,1.5Gi,K0_O3
1716564118718,%CPU,1.68675%,K0_O3
1716564118806,%MEM,1.5Gi,K0_O3
1716564120453,%CPU,1.68675%,K0_O3
1716564120551,%MEM,1.5Gi,K0_O3
1716564122210,%CPU,1.45278%,K0_O3
1716564122303,%MEM,1.5Gi,K0_O3
1716564123943,%CPU,1.45278%,K0_O3
1716564124031,%MEM,1.5Gi,K0_O3
1716564125672,%CPU,2.08333%,K0_O3
1716564125761,%MEM,1.5Gi,K0_O3
1716564127408,%CPU,1.91847%,K0_O3
1716564127502,%MEM,1.5Gi,K0_O3
1716564129166,%CPU,2.15311%,K0_O3
1716564129268,%MEM,1.5Gi,K0_O3
1716564130929,%CPU,2.39808%,K0_O3
1716564131028,%MEM,1.5Gi,K0_O3
