type,amount,platform
1716564167292,%CPU,1.92771%,K0_O3
1716564167389,%MEM,1.5Gi,K0_O3
1716564169033,%CPU,1.44928%,K0_O3
1716564169143,%MEM,1.5Gi,K0_O3
1716564170788,%CPU,1.92771%,K0_O3
1716564170879,%MEM,1.5Gi,K0_O3
1716564172518,%CPU,1.21359%,K0_O3
1716564172604,%MEM,1.5Gi,K0_O3
1716564174251,%CPU,1.92308%,K0_O3
1716564174366,%MEM,1.5Gi,K0_O3
1716564176029,%CPU,2.12202%,K0_O3
1716564176139,%MEM,1.5Gi,K0_O3
1716564177787,%CPU,1.45985%,K0_O3
1716564177883,%MEM,1.5Gi,K0_O3
1716564179535,%CPU,1.45631%,K0_O3
1716564179627,%MEM,1.5Gi,K0_O3
1716564181267,%CPU,1.94647%,K0_O3
1716564181356,%MEM,1.5Gi,K0_O3
1716564182990,%CPU,1.21359%,K0_O3
1716564183079,%MEM,1.5Gi,K0_O3
1716564184725,%CPU,1.45278%,K0_O3
1716564184829,%MEM,1.5Gi,K0_O3
1716564186478,%CPU,1.45631%,K0_O3
1716564186571,%MEM,1.5Gi,K0_O3
1716564188217,%CPU,1.68269%,K0_O3
1716564188313,%MEM,1.5Gi,K0_O3
1716564189963,%CPU,2.16867%,K0_O3
1716564190060,%MEM,1.5Gi,K0_O3
1716564191702,%CPU,1.69492%,K0_O3
1716564191792,%MEM,1.5Gi,K0_O3
1716564193437,%CPU,1.68675%,K0_O3
1716564193528,%MEM,1.5Gi,K0_O3
1716564195169,%CPU,1.45278%,K0_O3
1716564195256,%MEM,1.5Gi,K0_O3
1716564196950,%CPU,2.36967%,K0_O3
1716564197075,%MEM,1.5Gi,K0_O3
1716564198724,%CPU,1.92308%,K0_O3
1716564198826,%MEM,1.5Gi,K0_O3
1716564200481,%CPU,2.39808%,K0_O3
1716564200568,%MEM,1.5Gi,K0_O3
1716564202203,%CPU,1.21065%,K0_O3
1716564202299,%MEM,1.5Gi,K0_O3
1716564203961,%CPU,2.15827%,K0_O3
1716564204047,%MEM,1.5Gi,K0_O3
1716564205708,%CPU,1.93237%,K0_O3
1716564205794,%MEM,1.5Gi,K0_O3
1716564207433,%CPU,1.92771%,K0_O3
1716564207531,%MEM,1.5Gi,K0_O3
1716564209180,%CPU,1.69492%,K0_O3
1716564209266,%MEM,1.5Gi,K0_O3
1716564210901,%CPU,1.94175%,K0_O3
1716564210996,%MEM,1.5Gi,K0_O3
1716564212634,%CPU,1.69082%,K0_O3
1716564212720,%MEM,1.5Gi,K0_O3
1716564214380,%CPU,1.91847%,K0_O3
1716564214466,%MEM,1.5Gi,K0_O3
1716564216102,%CPU,1.48883%,K0_O3
1716564216192,%MEM,1.5Gi,K0_O3
1716564217830,%CPU,1.92771%,K0_O3
1716564217916,%MEM,1.5Gi,K0_O3
1716564219563,%CPU,1.92308%,K0_O3
1716564219655,%MEM,1.5Gi,K0_O3
1716564221291,%CPU,1.70316%,K0_O3
1716564221380,%MEM,1.5Gi,K0_O3
