type,amount,platform
1716563985513,%CPU,1.93237%,K0_O3
1716563985607,%MEM,1.5Gi,K0_O3
1716563987252,%CPU,1.68269%,K0_O3
1716563987344,%MEM,1.5Gi,K0_O3
1716563988987,%CPU,1.44928%,K0_O3
1716563989094,%MEM,1.5Gi,K0_O3
1716563990732,%CPU,1.45985%,K0_O3
1716563990823,%MEM,1.5Gi,K0_O3
1716563992468,%CPU,1.68675%,K0_O3
1716563992565,%MEM,1.5Gi,K0_O3
1716563994213,%CPU,1.68675%,K0_O3
1716563994312,%MEM,1.5Gi,K0_O3
1716563995958,%CPU,1.94175%,K0_O3
1716563996048,%MEM,1.5Gi,K0_O3
1716563997694,%CPU,1.92771%,K0_O3
1716563997775,%MEM,1.5Gi,K0_O3
1716563999403,%CPU,1.69492%,K0_O3
1716563999478,%MEM,1.5Gi,K0_O3
1716564001122,%CPU,2.6699%,K0_O3
1716564001220,%MEM,1.5Gi,K0_O3
1716564002912,%CPU,1.68269%,K0_O3
1716564003034,%MEM,1.5Gi,K0_O3
1716564004697,%CPU,2.16346%,K0_O3
1716564004806,%MEM,1.5Gi,K0_O3
1716564006466,%CPU,2.20386%,K0_O3
1716564006557,%MEM,1.5Gi,K0_O3
1716564008203,%CPU,1.69082%,K0_O3
1716564008299,%MEM,1.5Gi,K0_O3
1716564009950,%CPU,2.17918%,K0_O3
1716564010054,%MEM,1.5Gi,K0_O3
1716564011705,%CPU,1.92771%,K0_O3
1716564011806,%MEM,1.5Gi,K0_O3
1716564013456,%CPU,2.39234%,K0_O3
1716564013555,%MEM,1.5Gi,K0_O3
1716564015213,%CPU,1.91847%,K0_O3
1716564015304,%MEM,1.5Gi,K0_O3
1716564016957,%CPU,1.69082%,K0_O3
1716564017054,%MEM,1.5Gi,K0_O3
1716564018708,%CPU,1.68269%,K0_O3
1716564018804,%MEM,1.5Gi,K0_O3
1716564020446,%CPU,1.69082%,K0_O3
1716564020539,%MEM,1.5Gi,K0_O3
1716564022189,%CPU,2.38663%,K0_O3
1716564022276,%MEM,1.5Gi,K0_O3
1716564023915,%CPU,1.45631%,K0_O3
1716564024015,%MEM,1.5Gi,K0_O3
1716564025656,%CPU,1.45985%,K0_O3
1716564025749,%MEM,1.5Gi,K0_O3
1716564027388,%CPU,1.93237%,K0_O3
1716564027479,%MEM,1.5Gi,K0_O3
1716564029124,%CPU,1.92308%,K0_O3
1716564029237,%MEM,1.5Gi,K0_O3
1716564030887,%CPU,2.19512%,K0_O3
1716564030990,%MEM,1.5Gi,K0_O3
1716564032629,%CPU,1.45278%,K0_O3
1716564032707,%MEM,1.5Gi,K0_O3
1716564034345,%CPU,1.68675%,K0_O3
1716564034434,%MEM,1.5Gi,K0_O3
1716564036079,%CPU,1.7284%,K0_O3
1716564036178,%MEM,1.5Gi,K0_O3
1716564037823,%CPU,1.45278%,K0_O3
1716564037926,%MEM,1.5Gi,K0_O3
1716564039574,%CPU,1.69492%,K0_O3
1716564039664,%MEM,1.5Gi,K0_O3
