DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-test-57,deploy-test-57-78c788676f-k2rz9,2024-05-16T19:24:36+02:00,2024-05-16 19:24:40 +0200 CEST,2024-05-16 19:24:40 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16T19:25:42+02:00,2024-05-16T19:25:43+02:00
deploy-test-79,deploy-test-79-5c58c8c88f-cjgvf,2024-05-16T19:24:40+02:00,2024-05-16 19:24:45 +0200 CEST,2024-05-16 19:24:45 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16T19:25:46+02:00,2024-05-16T19:25:47+02:00
deploy-test-2,deploy-test-2-7df5989c69-kbktk,2024-05-16T19:24:26+02:00,2024-05-16 19:24:26 +0200 CEST,2024-05-16 19:24:26 +0200 CEST,2024-05-16 19:24:28 +0200 CEST,2024-05-16 19:24:28 +0200 CEST,2024-05-16 19:24:28 +0200 CEST,2024-05-16T19:25:32+02:00,2024-05-16T19:25:34+02:00
deploy-test-55,deploy-test-55-6699cb98f5-xqfrw,2024-05-16T19:24:35+02:00,2024-05-16 19:24:39 +0200 CEST,2024-05-16 19:24:39 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16T19:25:41+02:00,2024-05-16T19:25:42+02:00
deploy-test-60,deploy-test-60-6b9686fdbc-whwrr,2024-05-16T19:24:36+02:00,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16T19:25:42+02:00,2024-05-16T19:25:43+02:00
deploy-test-75,deploy-test-75-845d76fbd9-gkc94,2024-05-16T19:24:39+02:00,2024-05-16 19:24:44 +0200 CEST,2024-05-16 19:24:44 +0200 CEST,2024-05-16 19:24:46 +0200 CEST,2024-05-16 19:24:46 +0200 CEST,2024-05-16 19:24:46 +0200 CEST,2024-05-16T19:25:45+02:00,2024-05-16T19:25:46+02:00
deploy-test-88,deploy-test-88-6d865698f-s9zcs,2024-05-16T19:24:42+02:00,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16T19:25:48+02:00,2024-05-16T19:25:50+02:00
deploy-test-94,deploy-test-94-78f4d95b74-fhw4f,2024-05-16T19:24:43+02:00,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:50 +0200 CEST,2024-05-16 19:24:50 +0200 CEST,2024-05-16 19:24:50 +0200 CEST,2024-05-16T19:25:49+02:00,2024-05-16T19:25:51+02:00
deploy-test-8,deploy-test-8-669d47464c-qfkxq,2024-05-16T19:24:27+02:00,2024-05-16 19:24:27 +0200 CEST,2024-05-16 19:24:27 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16T19:25:33+02:00,2024-05-16T19:25:34+02:00
deploy-test-15,deploy-test-15-755dfbc4b7-t8thw,2024-05-16T19:24:27+02:00,2024-05-16 19:24:29 +0200 CEST,2024-05-16 19:24:29 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16T19:25:33+02:00,2024-05-16T19:25:35+02:00
deploy-test-51,deploy-test-51-587cc49cff-cvjmt,2024-05-16T19:24:34+02:00,2024-05-16 19:24:38 +0200 CEST,2024-05-16 19:24:38 +0200 CEST,2024-05-16 19:24:39 +0200 CEST,2024-05-16 19:24:40 +0200 CEST,2024-05-16 19:24:40 +0200 CEST,2024-05-16T19:25:40+02:00,2024-05-16T19:25:42+02:00
deploy-test-59,deploy-test-59-5857654f6c-9d796,2024-05-16T19:24:36+02:00,2024-05-16 19:24:40 +0200 CEST,2024-05-16 19:24:40 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16T19:25:42+02:00,2024-05-16T19:25:43+02:00
