timestamp,value
1716833762.277,439240298.5373737
1716833763.277,439240112.3555556
1716833764.277,439240112.3555556
1716833765.277,439396000.32323235
1716833766.277,439396000.32323235
1716833767.277,439396000.32323235
1716833768.277,439396000.32323235
1716833769.277,439411292.0565657
1716833770.277,439424386.84444445
1716833771.277,439426360.3717172
1716833772.277,439426360.3717172
1716833773.277,439432740.2020202
1716833774.277,439437109.2686869
1716833775.277,439446621.0909091
1716833776.277,439446621.0909091
1716833777.277,439444312.4363637
1716833778.277,439454225.5838384
1716833779.277,439466422.5616162
1716833780.277,439449355.8949495
1716833781.277,439445743.96767676
1716833782.277,439445557.78585863
1716833783.277,439296827.4747475
1716833784.277,439296380.63838387
1716833785.277,439285457.9717172
1716833786.277,439288772.0080808
1716833787.277,439288772.0080808
1716833788.277,439288772.0080808
1716833789.277,439296827.4747475
1716833790.277,439298763.76565653
1716833791.277,439307923.9111111
1716833792.277,439307923.9111111
1716833793.277,439307923.9111111
1716833794.277,439307923.9111111
1716833795.277,439307923.9111111
1716833796.277,439186115.4909091
1716833797.277,439186115.4909091
1716833798.277,439189317.8181818
1716833799.277,439189317.8181818
1716833800.277,439188862.7070707
1716833801.277,439197894.5939394
1716833802.277,439202118.8525253
1716833803.277,439311928.88888896
1716833804.277,439313939.6525253
1716833805.277,439301242.0525253
1716833806.277,439301242.0525253
1716833807.277,439301242.0525253
1716833808.277,439301242.0525253
1716833809.277,439299491.94343436
1716833810.277,439299491.94343436
1716833811.277,439315578.0525252
1716833812.277,439315578.0525252
1716833813.277,439315578.0525252
1716833814.277,439313269.3979798
1716833815.277,439409525.3979798
1716833816.277,439411834.0525252
1716833817.277,439411834.0525252
1716833818.277,439411469.96363634
1716833819.277,439463489.1636363
1716833820.277,439463451.9272727
1716833821.277,439463451.9272727
1716833822.277,439473729.1636363
1716833823.277,439473729.1636363
1716833824.277,439473766.4
1716833825.277,439475553.74545455
1716833826.277,439475553.74545455
1716833827.277,439475553.74545455
1716833828.277,439485384.1454545
1716833829.277,439485384.1454545
1716833830.277,439363621.2363636
1716833831.277,439363621.2363636
1716833832.277,439363174.4
1716833833.277,439379968
1716833834.277,439375872
1716833835.277,439379111.56363636
1716833836.277,439401093.43030304
1716833837.277,439401093.43030304
1716833838.277,439522397.0909091
1716833839.277,439532301.9636364
1716833840.277,439532301.9636364
1716833841.277,439571396.00808084
1716833842.277,439571396.00808084
1716833843.277,439571396.00808084
1716833844.277,439563506.03636366
1716833845.277,439563506.03636366
1716833846.277,438993934.4808081
1716833847.277,438993524.8808081
1716833848.277,439016239.0626263
1716833849.277,439029089.74545467
1716833850.277,439029089.74545467
1716833851.277,439031398.4000001
1716833852.277,439031398.4000001
1716833853.277,439031398.4000001
1716833854.277,439031398.4000001
1716833855.277,439031398.4000001
1716833856.277,439030943.288889
1716833857.277,439030579.2000001
1716833858.277,439030579.2000001
1716833859.277,439030579.2000001
1716833860.277,438908294.98181826
1716833861.277,438908294.98181826
1716833862.277,437686681.6000001
1716833863.277,437697877.3333334
1716833864.277,437719362.7151516
1716833865.277,437696201.6969698
1716833866.277,437702755.2969698
1716833867.277,437702755.2969698
1716833868.277,438905005.76969707
1716833869.277,438866131.00606066
1716833870.277,438865038.73939395
1716833871.277,438865038.73939395
1716833872.277,438976983.6606061
1716833873.277,438976983.6606061
1716833874.277,438974935.6606061
1716833875.277,438974935.6606061
1716833876.277,439434283.44242424
1716833877.277,439434283.44242424
1716833878.277,439435400.53333336
1716833879.277,439435512.24242425
1716833880.277,439437014.1090909
1716833881.277,439433282.1979798
1716833882.277,439434966.1090909
1716833883.277,439434966.1090909
1716833884.277,439442976.0646465
1716833885.277,439441635.5555556
1716833886.277,439441635.5555556
1716833887.277,439912675.5555556
1716833888.277,439912675.5555556
1716833889.277,440046114.1333333
1716833890.277,440046114.1333333
1716833891.277,440061041.77777773
1716833892.277,440058687.61212116
1716833893.277,440054819.16767675
1716833894.277,440054819.16767675
1716833895.277,440072750.54545456
1716833896.277,440069974.36767673
1716833897.277,440069974.36767673
1716833898.277,440078166.36767673
1716833899.277,440092957.47878784
1716833900.277,440031471.9676767
1716833901.277,440045249.4222222
1716833902.277,439908716.0888889
1716833903.277,439908716.0888889
1716833904.277,439879042.84444445
1716833905.277,439879042.84444445
1716833906.277,439879042.84444445
1716833907.277,439877739.57171714
1716833908.277,439877739.57171714
1716833909.277,439877739.57171714
1716833910.277,439877739.57171714
1716833911.277,439877739.57171714
1716833912.277,439893680.8727273
1716833913.277,439893680.8727273
1716833914.277,439895137.22828287
1716833915.277,439908136.8565657
1716833916.277,439908136.8565657
1716833917.277,439908136.8565657
1716833918.277,439908136.8565657
1716833919.277,439909957.3010102
1716833920.277,439909957.3010102
1716833921.277,439798248.21010107
1716833922.277,439799588.71919197
1716833923.277,439799588.71919197
1716833924.277,439801078.17373747
1716833925.277,439813701.30101013
1716833926.277,439837230.54545456
1716833927.277,439837230.54545456
1716833928.277,439837230.54545456
1716833929.277,439840461.8343435
1716833930.277,439849017.9232324
1716833931.277,439814897.0020202
1716833932.277,439814897.0020202
1716833933.277,439841082.44040406
1716833934.277,439841082.44040406
1716833935.277,439950743.5313131
1716833936.277,439930946.19797987
1716833937.277,439930946.19797987
1716833938.277,439930834.4888889
1716833939.277,439930834.4888889
1716833940.277,439933515.5070707
1716833941.277,439943983.0626263
1716833942.277,439945257.3737374
1716833943.277,439946560.64646465
1716833944.277,439958414.2222222
1716833945.277,439958414.2222222
1716833946.277,439958890.02020204
1716833947.277,439958890.02020204
1716833948.277,439984471.4020202
1716833949.277,439984471.4020202
1716833950.277,439984471.4020202
1716833951.277,440001898.02020204
1716833952.277,440001898.02020204
1716833953.277,440016780.15353537
1716833954.277,439990677.4626263
1716833955.277,439991951.7737374
1716833956.277,440025088
1716833957.277,440025088
1716833958.277,440034008.17777777
1716833959.277,440034008.17777777
1716833960.277,440023308.9292929
1716833961.277,440039783.95151514
1716833962.277,439928261.0424242
1716833963.277,439847383.66060597
1716833964.277,439847383.66060597
1716833965.277,439849617.84242415
1716833966.277,439849617.84242415
1716833967.277,439848314.5696969
1716833968.277,439957789.47878784
1716833969.277,439956424.1454545
1716833970.277,439959067.9272727
1716833971.277,439959320.3070707
1716833972.277,439959432.01616156
1716833973.277,439960027.7979798
1716833974.277,439960027.7979798
1716833975.277,439960027.7979798
1716833976.277,439960027.7979798
1716833977.277,439969411.36161613
1716833978.277,439979130.0525252
1716833979.277,439979676.18585855
1716833980.277,439979676.18585855
1716833981.277,439984144.5494949
1716833982.277,439986639.38585854
1716833983.277,439986639.38585854
1716833984.277,439986639.38585854
1716833985.277,439990644.3636363
1716833986.277,439985282.3272727
1716833987.277,439985282.3272727
1716833988.277,439993921.1636363
1716833989.277,439993921.1636363
1716833990.277,439947954.9414141
1716833991.277,439849290.989899
1716833992.277,439854653.0262626
1716833993.277,439854653.0262626
1716833994.277,439877838.8686869
1716833995.277,439876721.7777778
1716833996.277,439876610.0686869
1716833997.277,439877520.2909091
1716833998.277,439877520.2909091
1716833999.277,439897888.5818182
1716834000.277,439899117.38181823
1716834001.277,439899117.38181823
1716834002.277,440022220.8000001
1716834003.277,440023813.68888897
1716834004.277,440023813.68888897
1716834005.277,440022220.8000001
1716834006.277,440022220.8000001
1716834007.277,440022220.8000001
1716834008.277,440030685.86666673
1716834009.277,440030685.86666673
1716834010.277,440030685.86666673
1716834011.277,440033466.18181825
1716834012.277,440184521.6969697
1716834013.277,440184521.6969697
1716834014.277,440188990.06060606
1716834015.277,440188990.06060606
1716834016.277,440183218.42424244
1716834017.277,440183946.6020202
1716834018.277,440197599.9353536
1716834019.277,440197599.9353536
1716834020.277,440208249.5353536
1716834021.277,440209904.48484856
1716834022.277,440216458.0848486
1716834023.277,440224650.0848486
1716834024.277,440224650.0848486
1716834025.277,440255705.21212125
1716834026.277,440255705.21212125
1716834027.277,440255705.21212125
1716834028.277,440255593.50303036
1716834029.277,440317703.7575758
1716834030.277,440349578.0848485
1716834031.277,440348212.75151515
1716834032.277,440349218.1333333
1716834033.277,440218510.2222222
1716834034.277,440218510.2222222
1716834035.277,440218510.2222222
1716834036.277,440226292.6222222
1716834037.277,440228973.640404
1716834038.277,440228973.640404
1716834039.277,440228973.640404
1716834040.277,440229718.36767673
1716834041.277,440231766.36767673
1716834042.277,440233404.7676767
1716834043.277,440250471.4343434
1716834044.277,440250471.4343434
1716834045.277,440263214.54545444
1716834046.277,440263214.54545444
1716834047.277,440264108.2181818
1716834048.277,440293785.59999996
1716834049.277,440348216.8888888
1716834050.277,440335473.77777773
1716834051.277,440486980.26666665
1716834052.277,440486980.26666665
1716834053.277,440488072.53333336
1716834054.277,440488072.53333336
1716834055.277,440488072.53333336
1716834056.277,440494626.1333333
1716834057.277,440494626.1333333
1716834058.277,440354315.37777776
1716834059.277,440410579.52323234
1716834060.277,440422081.42222226
1716834061.277,440422081.42222226
1716834062.277,440422081.42222226
