framework,namespace,pod,container,type,value
karmada,karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,received_bytes,4428.4838316754895
karmada,karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,received_packets,4.606789683044511
karmada,karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,transmit_bytes,867.8567314397653
karmada,karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,transmit_packets,4.841128260265556
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_bytes,280.02489727812895
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_packets,1.9643380901303822
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_bytes,360.7129198657684
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_packets,1.7257347044036466
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-ctb9d,POD,received_bytes,10137.727043552637
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-ctb9d,POD,received_packets,2.0911472183801547
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-ctb9d,POD,transmit_bytes,315.0476671227849
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-ctb9d,POD,transmit_packets,1.9032652407240818
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hsqrn,POD,received_bytes,1249.8977012011583
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hsqrn,POD,received_packets,4.545239165959774
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hsqrn,POD,transmit_bytes,14457.922084086065
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hsqrn,POD,transmit_packets,4.00396410269442
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qlstn,POD,received_bytes,414.3662345253323
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qlstn,POD,received_packets,0.9127265730178888
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qlstn,POD,transmit_bytes,216.17281286818684
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qlstn,POD,transmit_packets,0.9456047464297903
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-55gws,POD,received_bytes,1739.1442442071043
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-55gws,POD,received_packets,5.405766008376606
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-55gws,POD,transmit_bytes,2543.2564342651367
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-55gws,POD,transmit_packets,5.649067163947063
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5w9sm,POD,received_bytes,5972.483851351706
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5w9sm,POD,received_packets,31.100228518569082
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5w9sm,POD,transmit_bytes,34675.700473275094
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5w9sm,POD,transmit_packets,30.11400636811635
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9d9zz,POD,received_bytes,1608.1677414333126
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9d9zz,POD,received_packets,4.623811681313109
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9d9zz,POD,transmit_bytes,2624.730315976401
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9d9zz,POD,transmit_packets,4.883716997832231
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hpp55,POD,received_bytes,47164.23751689666
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hpp55,POD,received_packets,32.286109778115296
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hpp55,POD,transmit_bytes,35982.8426360217
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hpp55,POD,transmit_packets,30.717298864225725
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hth2m,POD,received_bytes,10696.451141185607
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hth2m,POD,received_packets,5.51554934369016
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hth2m,POD,transmit_bytes,11515.155273006207
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-hth2m,POD,transmit_packets,5.835635587832147
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-sdgc5,POD,received_bytes,22671.065154119642
