Framework,Pod,CPU_Usage_Median,CPU_Usage_StdDev,Filtered_CPU_Usage_Median,Filtered_CPU_Usage_StdDev
oakestra,calico-node-4wgqr,0.0394091528985175,0.010847848141670552,,
oakestra,calico-node-fttsz,0.0377710632233621,0.008658711864279316,,
oakestra,calico-node-gwvg9,0.0399391016107342,0.011771970745470154,,
oakestra,calico-node-h2rmv,0.0409196520692823,0.009470753498832217,,
oakestra,calico-node-jtxmr,0.0510515571513512,0.013100804594445552,,
oakestra,calico-node-ms975,0.038503121161028,0.009276354022780835,,
oakestra,cert-manager-7ddd8cdb9f-hrv46,0.0014862644916786,0.0008061426386996376,,
oakestra,cert-manager-cainjector-57cd76c845-zvq5k,0.0009410941320449,0.0005348626312502794,,
oakestra,cert-manager-webhook-cf8f9f895-vzkm8,0.0005370028201886,0.0003276164322630906,,
oakestra,cluster-netmanager-79477d7674-r8cmd,0.002219384419813,0.0009754858138132683,,
oakestra,coredns-76f75df574-8246r,0.0019693728700943,0.0004575371081442731,,
oakestra,coredns-76f75df574-t7xgq,0.0018998317021182,0.0004070956345740587,,
oakestra,etcd-kubernetes-1,0.0428578931951336,0.009705955985324035,,
oakestra,kube-controller-manager-kubernetes-1,0.0226766755524939,0.004800780027020452,,
oakestra,kube-multus-ds-6mfb4,1.224231491e-06,1.1970355191336393e-06,,
oakestra,kube-multus-ds-bnpmb,2.3739317307e-06,2.469368317737081e-06,,
oakestra,kube-multus-ds-fps6l,2.4787384076e-06,2.417940401249463e-06,,
oakestra,kube-multus-ds-gr6z2,1.7692745974e-06,1.9411355019292606e-06,,
oakestra,kube-multus-ds-kh8hj,1.8940157163e-06,2.052578210825228e-06,,
oakestra,kube-multus-ds-mvqps,1.1716586425e-06,1.5767909069878972e-06,,
oakestra,kube-prometheus-stack-grafana-7cf5785ff8-k4j2g,0.0044054311860898,0.0021085200487926527,,
oakestra,kube-prometheus-stack-kube-state-metrics-65594f9476-jz7xv,0.0018676597577168,0.0005679036862808528,,
oakestra,kube-prometheus-stack-operator-75bc89f54b-nr6cc,0.0034278895014242,0.0014019779963307028,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-22dj2,0.0012982662916013,0.0005712444145463426,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-4kb8j,0.0015962148791044,0.00040249071401240706,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-7fhxq,0.00116208575765115,0.0005162119807373257,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-n4cjf,0.0014866100738873,0.0006495260704173325,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-vhr4k,0.0009487968599358,0.00044157015993857266,,
oakestra,kube-prometheus-stack-prometheus-node-exporter-z87xd,0.0014541945583467,0.0006099620189833788,,
oakestra,kube-proxy-4wg6l,0.0003566832776291,0.000521076042381984,,
oakestra,kube-proxy-9c8k8,0.000359403180041,0.0003682783125070001,,
oakestra,kube-proxy-c52kf,0.0003177955144831,0.0004217351083836909,,
oakestra,kube-proxy-gc9l9,0.0003573364476178,0.0006796981681922692,,
oakestra,kube-proxy-gv6wv,0.0005811238647458,0.000707058021855074,,
oakestra,kube-proxy-wwqzp,0.0003924853357108,0.00045341417487745526,,
oakestra,kube-scheduler-kubernetes-1,0.0044293951222742,0.0010298529105550347,,
oakestra,mongo-5759468d74-94zfl,0.0076471129362998,0.0016787907421479044,,
oakestra,mosquitto-559ccc5d46-plm7g,0.0005428756637243,0.00015352188883043457,,
oakestra,node-netmanager-6thck,0.0061001894620245,0.006811814675737196,,
