Pod,CPU_Usage_Median,CPU_Usage_StdDev
cluster-netmanager-5b8798d98-djg2r,0.0020599383518518,0.0004835668003143723
mongo-5759468d74-7cphq,0.00722690545625275,0.001797166460764932
mosquitto-559ccc5d46-fgd66,0.0004775599831014,0.0001207484806539879
node-netmanager-7xzhl,0.0001063158339957,0.00011528935185078992
node-netmanager-9hs2x,0.0001311204835295,0.0003871439059024791
node-netmanager-b4vth,0.00016031045646685,0.00039941148905001534
node-netmanager-f4kgj,6.61216057939e-05,0.00011964078986243686
node-netmanager-jmfhz,0.0001462242004244,0.0002994856111297711
node-netmanager-kww8j,0.0001012703875483,0.00018487404724909162
oakestra-agent-7f6cb876cf-bt8bn,0.0034253651197839,0.0010335582374750194
oakestra-controller-manager-d74f6ddf5-2s675,0.0022574427390542,0.0006664428988260471
