DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-66,deploy-test-66-84684bbbf7-4l76s,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-84,deploy-test-84-5db46c47cc-xfj74,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-44,deploy-test-44-68544bb8b5-g6885,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-48,deploy-test-48-775fff5cf7-4qmzv,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-78,deploy-test-78-d95ccc96-rxjfm,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-2,deploy-test-2-7df5989c69-rkxvn,0.0,0.0,2000.0,0.0,1000.0
deploy-test-15,deploy-test-15-755dfbc4b7-c22dt,1000.0,0.0,2000.0,0.0,2000.0
deploy-test-39,deploy-test-39-65dc89c7d5-sgsb7,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-68,deploy-test-68-665b8d76bc-7vmgw,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-83,deploy-test-83-7bf8f97cd6-42v6d,5000.0,0.0,3000.0,0.0,1000.0
deploy-test-99,deploy-test-99-84db77fbbc-cqh2h,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-1,deploy-test-1-b65b8967d-4gxcs,0.0,0.0,2000.0,0.0,1000.0
deploy-test-21,deploy-test-21-6f6844cf86-ngxnc,2000.0,0.0,2000.0,0.0,2000.0
deploy-test-22,deploy-test-22-576bdc8b7c-w9szt,2000.0,0.0,2000.0,0.0,2000.0
deploy-test-76,deploy-test-76-7799b87fd-jtx48,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-85,deploy-test-85-7fb855d84d-c9llx,5000.0,0.0,3000.0,0.0,1000.0
deploy-test-11,deploy-test-11-689674f567-x5tzx,0.0,0.0,2000.0,0.0,1000.0
deploy-test-19,deploy-test-19-fc9f66f67-p2zlj,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-31,deploy-test-31-5488f47c4f-xsr5r,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-93,deploy-test-93-58f59b7b5c-f8qx8,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-8,deploy-test-8-669d47464c-mv5wq,1000.0,0.0,2000.0,0.0,2000.0
deploy-test-36,deploy-test-36-b4f9fbbf4-psl5d,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-54,deploy-test-54-785d6c86c8-649dh,3000.0,0.0,3000.0,0.0,1000.0
deploy-test-58,deploy-test-58-7b5fcbd7fd-9f6vw,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-70,deploy-test-70-7467857bb8-v8g2x,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-79,deploy-test-79-5c58c8c88f-6qtlb,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-88,deploy-test-88-6d865698f-nwp42,5000.0,0.0,3000.0,0.0,2000.0
deploy-test-91,deploy-test-91-864466c767-ct57q,5000.0,0.0,3000.0,0.0,1000.0
deploy-test-20,deploy-test-20-6b99c9487f-rmrkh,1000.0,0.0,2000.0,0.0,3000.0
deploy-test-24,deploy-test-24-559b979567-bz7qq,2000.0,0.0,1000.0,0.0,1000.0
deploy-test-46,deploy-test-46-76c6df447f-29wpb,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-82,deploy-test-82-5c97d48755-zq6wz,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-97,deploy-test-97-7b9664bb57-l9mq5,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-25,deploy-test-25-db6597854-47hpp,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-27,deploy-test-27-5dd7998b8d-bjr8j,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-63,deploy-test-63-69dbbf9564-2zrmj,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-95,deploy-test-95-f5fcd544c-mgqcb,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-5,deploy-test-5-5c48bbdcdb-t7pvk,0.0,0.0,3000.0,0.0,1000.0
deploy-test-33,deploy-test-33-5f4cc6c6dc-l48x9,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-60,deploy-test-60-6b9686fdbc-795tz,3000.0,0.0,3000.0,0.0,1000.0
