DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-31,deploy-test-31-5488f47c4f-7k722,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-57,deploy-test-57-78c788676f-k2rz9,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-79,deploy-test-79-5c58c8c88f-cjgvf,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-2,deploy-test-2-7df5989c69-kbktk,0.0,0.0,2000.0,0.0,2000.0
deploy-test-55,deploy-test-55-6699cb98f5-xqfrw,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-60,deploy-test-60-6b9686fdbc-whwrr,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-75,deploy-test-75-845d76fbd9-gkc94,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-88,deploy-test-88-6d865698f-s9zcs,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-94,deploy-test-94-78f4d95b74-fhw4f,6000.0,0.0,1000.0,0.0,2000.0
deploy-test-8,deploy-test-8-669d47464c-qfkxq,0.0,0.0,3000.0,0.0,1000.0
deploy-test-15,deploy-test-15-755dfbc4b7-t8thw,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-51,deploy-test-51-587cc49cff-cvjmt,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-59,deploy-test-59-5857654f6c-9d796,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-70,deploy-test-70-7467857bb8-pvsdl,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-92,deploy-test-92-7796c676fb-d8wv5,5000.0,0.0,2000.0,0.0,0.0
deploy-test-3,deploy-test-3-c958f595b-cgkvm,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-32,deploy-test-32-5c464db8db-r4hd7,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-39,deploy-test-39-65dc89c7d5-flsbm,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-44,deploy-test-44-68544bb8b5-lp6x5,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-6,deploy-test-6-74d5f6f56f-xrdnc,0.0,0.0,2000.0,0.0,1000.0
deploy-test-9,deploy-test-9-5dd6b778-x4sbv,0.0,0.0,3000.0,0.0,1000.0
deploy-test-12,deploy-test-12-5478757db8-7rd5r,1000.0,0.0,1000.0,0.0,2000.0
deploy-test-25,deploy-test-25-db6597854-5pqhf,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-41,deploy-test-41-76b48cb76d-52cgz,4000.0,0.0,1000.0,0.0,0.0
deploy-test-63,deploy-test-63-69dbbf9564-7zbn9,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-71,deploy-test-71-6448564669-mxljw,5000.0,0.0,1000.0,0.0,2000.0
deploy-test-74,deploy-test-74-6b9594b79b-qb55k,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-97,deploy-test-97-7b9664bb57-bgfdq,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-5,deploy-test-5-5c48bbdcdb-glp74,0.0,0.0,2000.0,0.0,2000.0
deploy-test-19,deploy-test-19-fc9f66f67-bmb67,2000.0,0.0,1000.0,0.0,1000.0
deploy-test-35,deploy-test-35-b489b57c-4zwrq,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-36,deploy-test-36-b4f9fbbf4-8jmxs,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-43,deploy-test-43-5fc8c9f886-54v6q,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-76,deploy-test-76-7799b87fd-wn2lh,6000.0,0.0,1000.0,0.0,2000.0
deploy-test-78,deploy-test-78-d95ccc96-znmr5,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-85,deploy-test-85-7fb855d84d-4gqfw,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-22,deploy-test-22-576bdc8b7c-6547m,2000.0,0.0,3000.0,0.0,1000.0
deploy-test-46,deploy-test-46-76c6df447f-j47vq,4000.0,0.0,2000.0,0.0,0.0
deploy-test-53,deploy-test-53-74644646bf-hl7j7,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-66,deploy-test-66-84684bbbf7-jj2l2,5000.0,0.0,1000.0,0.0,0.0
deploy-test-93,deploy-test-93-58f59b7b5c-gb7c6,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-19,deploy-test-19-fc9f66f67-5ldpg,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-27,deploy-test-27-5dd7998b8d-t44zd,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-33,deploy-test-33-5f4cc6c6dc-ccqpm,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-50,deploy-test-50-86db49fd58-5zb82,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-69,deploy-test-69-566cb888bb-7g7vq,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-76,deploy-test-76-7799b87fd-cwmrs,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-79,deploy-test-79-5c58c8c88f-phdsx,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-95,deploy-test-95-f5fcd544c-g9xxf,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-26,deploy-test-26-9797bcb5-gclzl,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-45,deploy-test-45-c66dc6984-hz6jz,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-57,deploy-test-57-78c788676f-bb457,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-77,deploy-test-77-64bf9f696c-q8kpx,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-92,deploy-test-92-7796c676fb-d4ch8,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-99,deploy-test-99-84db77fbbc-sg4kl,6000.0,0.0,2000.0,0.0,0.0
