DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-test-200,deploy-test-200-78d6dc5665-nnfhh,2024-05-16T19:46:24+02:00,2024-05-16 19:46:33 +0200 CEST,2024-05-16 19:46:33 +0200 CEST,2024-05-16 19:46:40 +0200 CEST,2024-05-16 19:46:40 +0200 CEST,2024-05-16 19:46:40 +0200 CEST,2024-05-16T19:48:51+02:00,2024-05-16T19:48:52+02:00
deploy-test-300,deploy-test-300-85f47f8c8d-rpkqj,2024-05-16T19:46:44+02:00,2024-05-16 19:46:57 +0200 CEST,2024-05-16 19:46:57 +0200 CEST,2024-05-16 19:47:06 +0200 CEST,2024-05-16 19:47:06 +0200 CEST,2024-05-16 19:47:06 +0200 CEST,2024-05-16T19:49:11+02:00,2024-05-16T19:49:12+02:00
deploy-test-8,deploy-test-8-669d47464c-6sbc9,2024-05-16T19:45:47+02:00,2024-05-16 19:45:47 +0200 CEST,2024-05-16 19:45:47 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16T19:48:14+02:00,2024-05-16T19:48:15+02:00
deploy-test-62,deploy-test-62-7f856647bf-pk9mb,2024-05-16T19:45:57+02:00,2024-05-16 19:46:01 +0200 CEST,2024-05-16 19:46:01 +0200 CEST,2024-05-16 19:46:02 +0200 CEST,2024-05-16 19:46:03 +0200 CEST,2024-05-16 19:46:03 +0200 CEST,2024-05-16T19:48:23+02:00,2024-05-16T19:48:24+02:00
deploy-test-164,deploy-test-164-5c897bc4d4-xqnt2,2024-05-16T19:46:17+02:00,2024-05-16 19:46:25 +0200 CEST,2024-05-16 19:46:25 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16T19:48:43+02:00,2024-05-16T19:48:45+02:00
deploy-test-165,deploy-test-165-86498cbf7c-qg7l8,2024-05-16T19:46:17+02:00,2024-05-16 19:46:25 +0200 CEST,2024-05-16 19:46:25 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16 19:46:26 +0200 CEST,2024-05-16T19:48:44+02:00,2024-05-16T19:48:45+02:00
deploy-test-176,deploy-test-176-85fd99c9b5-nttp7,2024-05-16T19:46:20+02:00,2024-05-16 19:46:28 +0200 CEST,2024-05-16 19:46:28 +0200 CEST,2024-05-16 19:46:30 +0200 CEST,2024-05-16 19:46:30 +0200 CEST,2024-05-16 19:46:30 +0200 CEST,2024-05-16T19:48:46+02:00,2024-05-16T19:48:47+02:00
deploy-test-235,deploy-test-235-5dd448b869-kqw8l,2024-05-16T19:46:31+02:00,2024-05-16 19:46:41 +0200 CEST,2024-05-16 19:46:41 +0200 CEST,2024-05-16 19:46:55 +0200 CEST,2024-05-16 19:46:55 +0200 CEST,2024-05-16 19:46:55 +0200 CEST,2024-05-16T19:48:58+02:00,2024-05-16T19:48:59+02:00
deploy-test-244,deploy-test-244-5c6c695497-g7qt4,2024-05-16T19:46:33+02:00,2024-05-16 19:46:43 +0200 CEST,2024-05-16 19:46:43 +0200 CEST,2024-05-16 19:46:58 +0200 CEST,2024-05-16 19:46:58 +0200 CEST,2024-05-16 19:46:58 +0200 CEST,2024-05-16T19:48:59+02:00,2024-05-16T19:49:00+02:00
deploy-test-257,deploy-test-257-58fbd9657c-p86d4,2024-05-16T19:46:36+02:00,2024-05-16 19:46:46 +0200 CEST,2024-05-16 19:46:46 +0200 CEST,2024-05-16 19:46:48 +0200 CEST,2024-05-16 19:46:48 +0200 CEST,2024-05-16 19:46:48 +0200 CEST,2024-05-16T19:49:02+02:00,2024-05-16T19:49:03+02:00
