timestamp,value
1715933952.085,984299929.6
1715933953.085,984299929.6
1715933954.085,985350189.511111
1715933955.085,985350189.511111
1715933956.085,985350189.511111
1715933957.085,985350189.511111
1715933958.085,986700003.5555556
1715933959.085,986700003.5555556
1715933960.085,986700003.5555556
1715933961.085,984277401.6
1715933962.085,984277401.6
1715933963.085,984238535.1111112
1715933964.085,984238535.1111112
1715933965.085,984317170.0363636
1715933966.085,984317170.0363636
1715933967.085,984284364.8
1715933968.085,984284364.8
1715933969.085,984284364.8
1715933970.085,984284364.8
1715933971.085,984284364.8
1715933972.085,984284364.8
1715933973.085,984284364.8
1715933974.085,984284364.8
1715933975.085,984284364.8
1715933976.085,984284364.8
1715933977.085,985645511.111111
1715933978.085,985645511.111111
1715933979.085,985645511.111111
1715933980.085,985645511.111111
1715933981.085,985645511.111111
1715933982.085,985645511.111111
1715933983.085,985645511.111111
1715933984.085,985645511.111111
1715933985.085,985645511.111111
1715933986.085,985645511.111111
1715933987.085,986680115.1999999
1715933988.085,986680115.1999999
1715933989.085,986680115.1999999
1715933990.085,986680115.1999999
1715933991.085,985318968.8888887
1715933992.085,985318968.8888887
1715933993.085,985318968.8888887
1715933994.085,984298427.7333332
1715933995.085,984298427.7333332
1715933996.085,984298427.7333332
1715933997.085,984298427.7333332
1715933998.085,984298427.7333332
1715933999.085,984298427.7333332
1715934000.085,984298427.7333332
1715934001.085,984298427.7333332
1715934002.085,984288820.7515152
1715934003.085,984288820.7515152
1715934004.085,984273119.4181818
1715934005.085,984305254.3999999
1715934006.085,984305254.3999999
1715934007.085,984305254.3999999
1715934008.085,984305254.3999999
1715934009.085,984305254.3999999
1715934010.085,985446623.4181817
1715934011.085,985446623.4181817
1715934012.085,985446623.4181817
1715934013.085,985446623.4181817
1715934014.085,985446623.4181817
1715934015.085,985446623.4181817
1715934016.085,983690941.2848485
1715934017.085,983690941.2848485
1715934018.085,983690941.2848485
1715934019.085,983690941.2848485
1715934020.085,983730672.4848485
1715934021.085,983730672.4848485
1715934022.085,982545885.8666667
1715934023.085,982545885.8666667
1715934024.085,984279859.2
1715934025.085,984279859.2
1715934026.085,984279859.2
1715934027.085,984279859.2
1715934028.085,984266267.9272728
1715934029.085,984266267.9272728
1715934030.085,984266267.9272728
1715934031.085,984249474.3272728
1715934032.085,984249474.3272728
1715934033.085,984285593.6
1715934034.085,984285593.6
1715934035.085,984285593.6
1715934036.085,984285593.6
1715934037.085,984285593.6
1715934038.085,984285593.6
1715934039.085,984285593.6
1715934040.085,984285593.6
1715934041.085,984285593.6
1715934042.085,984285593.6
1715934043.085,984285593.6
1715934044.085,985460698.7636364
1715934045.085,983712616.9858586
1715934046.085,983712616.9858586
1715934047.085,983712616.9858586
1715934048.085,983712616.9858586
1715934049.085,982539150.2222222
1715934050.085,982539150.2222222
1715934051.085,982550937.6
1715934052.085,982550937.6
1715934053.085,982550937.6
1715934054.085,984272804.9777777
1715934055.085,984272804.9777777
1715934056.085,984272804.9777777
1715934057.085,984272804.9777777
1715934058.085,984272804.9777777
1715934059.085,984272804.9777777
1715934060.085,984272804.9777777
1715934061.085,984272804.9777777
1715934062.085,984296152.1777778
1715934063.085,984296152.1777778
1715934064.085,984317952
1715934065.085,984317952
1715934066.085,984317952
1715934067.085,984317952
1715934068.085,984317952
1715934069.085,984317952
1715934070.085,984317952
1715934071.085,984317952
1715934072.085,984317952
1715934073.085,985727497.309091
1715934074.085,985727497.309091
1715934075.085,984292556.8000001
1715934076.085,985442937.0181819
1715934077.085,985442937.0181819
1715934078.085,984253235.2000002
1715934079.085,984234439.1111113
1715934080.085,984234439.1111113
1715934081.085,984234439.1111113
1715934082.085,984234439.1111113
1715934083.085,984234439.1111113
1715934084.085,984215369.9555557
1715934085.085,984215369.9555557
1715934086.085,984215369.9555557
1715934087.085,984215369.9555557
1715934088.085,984215369.9555557
1715934089.085,984215369.9555557
1715934090.085,984215369.9555557
1715934091.085,984260790.0444446
1715934092.085,984260790.0444446
1715934093.085,984306483.2000002
1715934094.085,984306483.2000002
1715934095.085,984306483.2000002
1715934096.085,984306483.2000002
1715934097.085,984306483.2000002
1715934098.085,984306483.2000002
1715934099.085,984306483.2000002
1715934100.085,982535827.9111112
1715934101.085,982535827.9111112
1715934102.085,982535827.9111112
1715934103.085,982535827.9111112
1715934104.085,982535827.9111112
1715934105.085,982535827.9111112
1715934106.085,984280268.8000001
1715934107.085,984280268.8000001
1715934108.085,982840297.2444445
1715934109.085,982859958.0444444
1715934110.085,984289689.6
1715934111.085,984265113.6
1715934112.085,984265113.6
1715934113.085,984265113.6
1715934114.085,984265113.6
1715934115.085,984265113.6
1715934116.085,984265113.6
1715934117.085,984265113.6
1715934118.085,984265113.6
1715934119.085,984265113.6
1715934120.085,984284501.3333334
1715934121.085,984284501.3333334
1715934122.085,984284501.3333334
1715934123.085,984284501.3333334
1715934124.085,984284501.3333334
1715934125.085,984261017.6
1715934126.085,984261017.6
1715934127.085,982804889.6
1715934128.085,982804889.6
1715934129.085,982804889.6
1715934130.085,982804889.6
1715934131.085,982804889.6
1715934132.085,982804889.6
1715934133.085,982804889.6
1715934134.085,982804889.6
1715934135.085,981854617.6
1715934136.085,982988390.4
1715934137.085,982988390.4
1715934138.085,982988390.4
1715934139.085,982988390.4
1715934140.085,982988390.4
1715934141.085,982988390.4
1715934142.085,982988390.4
1715934143.085,982988390.4
1715934144.085,981787852.8000001
1715934145.085,981805875.2
1715934146.085,981801406.8363637
1715934147.085,981801406.8363637
1715934148.085,981801406.8363637
1715934149.085,981801406.8363637
1715934150.085,981801406.8363637
1715934151.085,981801406.8363637
1715934152.085,981795672.4363637
1715934153.085,981795672.4363637
1715934154.085,981811609.6
1715934155.085,981811609.6
1715934156.085,981811609.6
1715934157.085,981811609.6
1715934158.085,981811609.6
1715934159.085,981811609.6
1715934160.085,980842756.6545454
1715934161.085,980842756.6545454
1715934162.085,980842756.6545454
1715934163.085,980842756.6545454
1715934164.085,980842756.6545454
1715934165.085,980842756.6545454
