DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-undeploy-test-75,deploy-undeploy-test-75-765b4c684b-kxf88,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-86,deploy-undeploy-test-86-67bc5dbf84-lk4vl,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-24,deploy-undeploy-test-24-6494fc5c56-p4ld2,0.0,0.0,2000.0,0.0,0.0
deploy-undeploy-test-38,deploy-undeploy-test-38-77ffd78fff-cg997,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-70,deploy-undeploy-test-70-6fc55499c5-2zrb6,0.0,0.0,1000.0,0.0,2000.0
deploy-undeploy-test-77,deploy-undeploy-test-77-dc5bf9c4d-rptvp,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-21,deploy-undeploy-test-21-5c989c66cc-b78zv,0.0,0.0,3000.0,0.0,1000.0
deploy-undeploy-test-64,deploy-undeploy-test-64-7db66c99b8-j4gr4,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-73,deploy-undeploy-test-73-784f6ff8fb-r2sts,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-55,deploy-undeploy-test-55-6ddf6ccb96-5djgr,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-80,deploy-undeploy-test-80-6c85b747db-dgfk9,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-40,deploy-undeploy-test-40-df595b56b-xtlqs,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-41,deploy-undeploy-test-41-7574c5ffff-nb64c,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-50,deploy-undeploy-test-50-cc7b5845c-zz5k9,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-6,deploy-undeploy-test-6-7d564b5964-gnd8v,0.0,0.0,1000.0,0.0,0.0
deploy-undeploy-test-63,deploy-undeploy-test-63-68489ddb9f-sgtdc,0.0,0.0,2000.0,0.0,0.0
deploy-undeploy-test-10,deploy-undeploy-test-10-d656d4f9c-2j2r8,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-11,deploy-undeploy-test-11-54464685dd-hqtcm,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-16,deploy-undeploy-test-16-67b974b879-srf59,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-69,deploy-undeploy-test-69-c9d9c88b9-rwwxl,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-84,deploy-undeploy-test-84-74b9894c86-csshm,0.0,1000.0,1000.0,0.0,1000.0
deploy-undeploy-test-90,deploy-undeploy-test-90-86d5d49f69-ctf87,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-53,deploy-undeploy-test-53-645d944454-qjptt,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-54,deploy-undeploy-test-54-755fc7946f-j9kq6,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-65,deploy-undeploy-test-65-75bdd8787c-sf5qx,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-83,deploy-undeploy-test-83-bdc598fc-t27qf,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-93,deploy-undeploy-test-93-c989864cd-fhbtn,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-12,deploy-undeploy-test-12-5c7455f56c-p2hqh,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-3,deploy-undeploy-test-3-f988b9cfc-stwq5,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-52,deploy-undeploy-test-52-6d8cc587f9-xmrb6,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-99,deploy-undeploy-test-99-589649d776-cd4l6,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-62,deploy-undeploy-test-62-79bc4fc886-4l5dc,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-81,deploy-undeploy-test-81-7c748bf5dc-2jkgr,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-88,deploy-undeploy-test-88-778b46b86b-8sfvj,0.0,0.0,2000.0,0.0,0.0
deploy-undeploy-test-23,deploy-undeploy-test-23-755778c9bc-v4srz,0.0,0.0,3000.0,0.0,0.0
deploy-undeploy-test-36,deploy-undeploy-test-36-84bb59c6f-c477k,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-45,deploy-undeploy-test-45-5c4954dc59-5rq8n,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-35,deploy-undeploy-test-35-57ddc8846b-5vndv,0.0,0.0,3000.0,0.0,2000.0
deploy-undeploy-test-44,deploy-undeploy-test-44-847cff9cc4-blpsc,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-91,deploy-undeploy-test-91-d68bf8c68-ghtp4,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-94,deploy-undeploy-test-94-848f5cc9d9-lzmf2,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-2,deploy-undeploy-test-2-59f845d58d-xx595,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-27,deploy-undeploy-test-27-58d6995b87-6n5mr,0.0,0.0,1000.0,0.0,2000.0
deploy-undeploy-test-31,deploy-undeploy-test-31-cbbdd76b6-s6xsw,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-19,deploy-undeploy-test-19-95c8c8f5b-r6ccb,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-30,deploy-undeploy-test-30-df6b5cd67-25dnj,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-61,deploy-undeploy-test-61-7b666b98fc-bw6sc,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-76,deploy-undeploy-test-76-699dddfb6f-sm576,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-78,deploy-undeploy-test-78-5574cfc895-gt5l9,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-1,deploy-undeploy-test-1-75b666568c-jwr68,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-100,deploy-undeploy-test-100-f65d49475-rd6wk,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-18,deploy-undeploy-test-18-85c6ddfdb5-rv2b7,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-85,deploy-undeploy-test-85-74f96d5dcf-56p2g,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-5,deploy-undeploy-test-5-7dcccfb6bc-94tvk,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-82,deploy-undeploy-test-82-8666956c56-2rtlh,1000.0,0.0,1000.0,0.0,2000.0
deploy-undeploy-test-95,deploy-undeploy-test-95-7f6d6d749b-8742g,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-96,deploy-undeploy-test-96-5c555b44c9-t5wj7,0.0,0.0,2000.0,0.0,2000.0
deploy-undeploy-test-28,deploy-undeploy-test-28-798cd97544-fn57c,0.0,0.0,1000.0,0.0,1000.0
deploy-undeploy-test-34,deploy-undeploy-test-34-55765bd7f9-9pbj8,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-39,deploy-undeploy-test-39-58c888cdf8-94c4k,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-42,deploy-undeploy-test-42-75cc69d58d-r5c7j,0.0,0.0,2000.0,0.0,1000.0
deploy-undeploy-test-49,deploy-undeploy-test-49-7d8d596d99-vlnvh,0.0,0.0,1000.0,0.0,2000.0
