instance,pod,timestamp,value
10.100.252.254:10250,calico-node-ssn5n,1715933481.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933482.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933483.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933484.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933485.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933486.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933487.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933488.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933489.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933490.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933491.824,0.05309212369780546
10.100.252.254:10250,calico-node-ssn5n,1715933492.824,0.05966859613176459
10.100.252.254:10250,calico-node-ssn5n,1715933493.824,0.03328261634474707
10.100.252.254:10250,calico-node-ssn5n,1715933494.824,0.03328261634474707
10.100.252.254:10250,calico-node-ssn5n,1715933495.824,0.03328261634474707
10.100.252.254:10250,calico-node-ssn5n,1715933496.824,0.03328261634474707
10.100.252.254:10250,calico-node-ssn5n,1715933497.824,0.03328261634474707
10.100.252.254:10250,calico-node-ssn5n,1715933498.824,0.04054461850206527
10.100.252.254:10250,calico-node-ssn5n,1715933499.824,0.04054461850206527
10.100.252.254:10250,calico-node-ssn5n,1715933500.824,0.04054461850206527
10.100.252.254:10250,calico-node-ssn5n,1715933501.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933502.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933503.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933504.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933505.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933506.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933507.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933508.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933509.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933510.824,0.07576940516348066
10.100.252.254:10250,calico-node-ssn5n,1715933511.824,0.07576940516348066
