DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-46,deploy-undeploy-test-46-7857dbc84d-njff7,2024-05-18T12:01:19+02:00,2024-05-18 12:01:26 +0200 CEST,2024-05-18 12:01:26 +0200 CEST,2024-05-18 12:01:27 +0200 CEST,2024-05-18 12:01:28 +0200 CEST,2024-05-18 12:01:28 +0200 CEST,2024-05-18T12:02:55+02:00,2024-05-18T12:02:56+02:00
deploy-undeploy-test-52,deploy-undeploy-test-52-6d8cc587f9-7xbmm,2024-05-18T12:01:21+02:00,2024-05-18 12:01:31 +0200 CEST,2024-05-18 12:01:31 +0200 CEST,2024-05-18 12:01:32 +0200 CEST,2024-05-18 12:01:32 +0200 CEST,2024-05-18 12:01:32 +0200 CEST,2024-05-18T12:03:02+02:00,2024-05-18T12:03:03+02:00
deploy-undeploy-test-12,deploy-undeploy-test-12-5c7455f56c-pqnhw,2024-05-18T12:01:04+02:00,2024-05-18 12:01:04 +0200 CEST,2024-05-18 12:01:04 +0200 CEST,2024-05-18 12:01:06 +0200 CEST,2024-05-18 12:01:06 +0200 CEST,2024-05-18 12:01:06 +0200 CEST,2024-05-18T12:02:20+02:00,2024-05-18T12:02:22+02:00
deploy-undeploy-test-14,deploy-undeploy-test-14-6ffd964485-9j7hj,2024-05-18T12:01:05+02:00,2024-05-18 12:01:05 +0200 CEST,2024-05-18 12:01:05 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18T12:02:21+02:00,2024-05-18T12:02:22+02:00
deploy-undeploy-test-17,deploy-undeploy-test-17-57cb8bcb78-c8bsf,2024-05-18T12:01:07+02:00,2024-05-18 12:01:07 +0200 CEST,2024-05-18 12:01:07 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18T12:02:22+02:00,2024-05-18T12:02:23+02:00
deploy-undeploy-test-2,deploy-undeploy-test-2-59f845d58d-ztlrp,2024-05-18T12:01:08+02:00,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:09 +0200 CEST,2024-05-18 12:01:10 +0200 CEST,2024-05-18 12:01:11 +0200 CEST,2024-05-18 12:01:11 +0200 CEST,2024-05-18T12:02:25+02:00,2024-05-18T12:02:25+02:00
deploy-undeploy-test-77,deploy-undeploy-test-77-dc5bf9c4d-7mfzt,2024-05-18T12:01:34+02:00,2024-05-18 12:01:47 +0200 CEST,2024-05-18 12:01:47 +0200 CEST,2024-05-18 12:01:49 +0200 CEST,2024-05-18 12:01:49 +0200 CEST,2024-05-18 12:01:49 +0200 CEST,2024-05-18T12:03:29+02:00,2024-05-18T12:03:29+02:00
deploy-undeploy-test-93,deploy-undeploy-test-93-c989864cd-5wt75,2024-05-18T12:01:43+02:00,2024-05-18 12:01:58 +0200 CEST,2024-05-18 12:01:58 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18T12:03:48+02:00,2024-05-18T12:03:49+02:00
deploy-undeploy-test-79,deploy-undeploy-test-79-5757fcb9d-2lxc7,2024-05-18T12:01:34+02:00,2024-05-18 12:01:48 +0200 CEST,2024-05-18 12:01:48 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18T12:03:30+02:00,2024-05-18T12:03:31+02:00
deploy-undeploy-test-9,deploy-undeploy-test-9-6d4bbb679f-vg6v7,2024-05-18T12:01:40+02:00,2024-05-18 12:01:56 +0200 CEST,2024-05-18 12:01:56 +0200 CEST,2024-05-18 12:01:57 +0200 CEST,2024-05-18 12:01:58 +0200 CEST,2024-05-18 12:01:58 +0200 CEST,2024-05-18T12:03:44+02:00,2024-05-18T12:03:44+02:00
deploy-undeploy-test-37,deploy-undeploy-test-37-76c79ddd8d-wphjc,2024-05-18T12:01:15+02:00,2024-05-18 12:01:20 +0200 CEST,2024-05-18 12:01:20 +0200 CEST,2024-05-18 12:01:22 +0200 CEST,2024-05-18 12:01:22 +0200 CEST,2024-05-18 12:01:22 +0200 CEST,2024-05-18T12:02:44+02:00,2024-05-18T12:02:44+02:00
