pod,namespace,timestamp,value
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813447.515,47033958.4
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813448.515,47033958.4
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813449.515,47033958.4
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813450.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813451.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813452.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813453.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813454.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813455.515,47031538.03636363
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813456.515,47028782.54545455
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813457.515,47028782.54545455
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813458.515,47028782.54545455
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813459.515,47022601.309090905
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813460.515,47022601.309090905
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813461.515,47022601.309090905
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813462.515,47022601.309090905
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813463.515,47022601.309090905
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813464.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813465.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813466.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813467.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813468.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813469.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813470.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813471.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813472.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813473.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813474.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813475.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813476.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813477.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813478.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813479.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813480.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813481.515,47013068.8
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813482.515,47023346.03636364
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813483.515,46996221.41414142
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813484.515,46996221.41414142
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813485.515,46996221.41414142
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813486.515,46996221.41414142
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813487.515,46996221.41414142
oakestra-controller-manager-d74f6ddf5-2s675,oakestra-controller-manager,1716813488.515,46996221.41414142
