type,amount,platform
1716563572409,%CPU,2.39808%,K1_O2
1716563572509,%MEM,1.5Gi,K1_O2
1716563574152,%CPU,1.69082%,K1_O2
1716563574250,%MEM,1.5Gi,K1_O2
1716563575920,%CPU,1.91388%,K1_O2
1716563576038,%MEM,1.5Gi,K1_O2
1716563577702,%CPU,1.92771%,K1_O2
1716563577805,%MEM,1.5Gi,K1_O2
1716563579465,%CPU,1.92771%,K1_O2
1716563579564,%MEM,1.5Gi,K1_O2
1716563581218,%CPU,1.46341%,K1_O2
1716563581307,%MEM,1.5Gi,K1_O2
1716563582968,%CPU,1.68675%,K1_O2
1716563583058,%MEM,1.5Gi,K1_O2
1716563584712,%CPU,1.93237%,K1_O2
1716563584804,%MEM,1.5Gi,K1_O2
1716563586444,%CPU,1.69492%,K1_O2
1716563586542,%MEM,1.5Gi,K1_O2
1716563588209,%CPU,2.15311%,K1_O2
1716563588315,%MEM,1.5Gi,K1_O2
1716563589956,%CPU,1.94647%,K1_O2
1716563590051,%MEM,1.5Gi,K1_O2
1716563591685,%CPU,1.69903%,K1_O2
1716563591768,%MEM,1.5Gi,K1_O2
1716563593407,%CPU,1.67866%,K1_O2
1716563593516,%MEM,1.5Gi,K1_O2
1716563595166,%CPU,1.69903%,K1_O2
1716563595276,%MEM,1.5Gi,K1_O2
1716563596928,%CPU,1.92308%,K1_O2
1716563597031,%MEM,1.5Gi,K1_O2
1716563598677,%CPU,1.92771%,K1_O2
1716563598780,%MEM,1.5Gi,K1_O2
1716563600443,%CPU,1.68675%,K1_O2
1716563600538,%MEM,1.5Gi,K1_O2
1716563602204,%CPU,1.92771%,K1_O2
1716563602303,%MEM,1.5Gi,K1_O2
1716563603953,%CPU,1.68675%,K1_O2
1716563604042,%MEM,1.5Gi,K1_O2
1716563605690,%CPU,1.21951%,K1_O2
1716563605791,%MEM,1.5Gi,K1_O2
1716563607435,%CPU,1.69903%,K1_O2
1716563607523,%MEM,1.5Gi,K1_O2
1716563609168,%CPU,1.93237%,K1_O2
1716563609262,%MEM,1.5Gi,K1_O2
1716563610921,%CPU,2.16867%,K1_O2
1716563611027,%MEM,1.5Gi,K1_O2
1716563612675,%CPU,1.68675%,K1_O2
1716563612781,%MEM,1.5Gi,K1_O2
1716563614433,%CPU,2.40964%,K1_O2
1716563614529,%MEM,1.5Gi,K1_O2
1716563616196,%CPU,1.91847%,K1_O2
1716563616298,%MEM,1.5Gi,K1_O2
1716563617951,%CPU,1.21065%,K1_O2
1716563618054,%MEM,1.5Gi,K1_O2
1716563619708,%CPU,1.70316%,K1_O2
1716563619800,%MEM,1.5Gi,K1_O2
1716563621455,%CPU,2.16346%,K1_O2
1716563621566,%MEM,1.5Gi,K1_O2
1716563623221,%CPU,1.67464%,K1_O2
1716563623309,%MEM,1.5Gi,K1_O2
1716563624962,%CPU,1.93237%,K1_O2
1716563625050,%MEM,1.5Gi,K1_O2
1716563626693,%CPU,1.44928%,K1_O2
1716563626772,%MEM,1.5Gi,K1_O2
