type,amount,platform
1716563390436,%CPU,2.15311%,K1_O2
1716563390521,%MEM,1.5Gi,K1_O2
1716563392162,%CPU,1.44928%,K1_O2
1716563392249,%MEM,1.5Gi,K1_O2
1716563393899,%CPU,2.16346%,K1_O2
1716563393987,%MEM,1.5Gi,K1_O2
1716563395641,%CPU,1.44578%,K1_O2
1716563395743,%MEM,1.5Gi,K1_O2
1716563397382,%CPU,2.40385%,K1_O2
1716563397468,%MEM,1.6Gi,K1_O2
1716563399128,%CPU,1.44578%,K1_O2
1716563399214,%MEM,1.5Gi,K1_O2
1716563400891,%CPU,2.14286%,K1_O2
1716563401010,%MEM,1.5Gi,K1_O2
1716563402667,%CPU,1.44231%,K1_O2
1716563402790,%MEM,1.5Gi,K1_O2
1716563404464,%CPU,2.16346%,K1_O2
1716563404568,%MEM,1.5Gi,K1_O2
1716563406227,%CPU,1.69492%,K1_O2
1716563406339,%MEM,1.5Gi,K1_O2
1716563408012,%CPU,2.14797%,K1_O2
1716563408126,%MEM,1.5Gi,K1_O2
1716563409797,%CPU,2.16867%,K1_O2
1716563409899,%MEM,1.5Gi,K1_O2
1716563411554,%CPU,2.63789%,K1_O2
1716563411646,%MEM,1.5Gi,K1_O2
1716563413300,%CPU,1.92308%,K1_O2
1716563413400,%MEM,1.5Gi,K1_O2
1716563415062,%CPU,1.93237%,K1_O2
1716563415158,%MEM,1.5Gi,K1_O2
1716563416802,%CPU,1.69492%,K1_O2
1716563416903,%MEM,1.5Gi,K1_O2
1716563418550,%CPU,1.70316%,K1_O2
1716563418653,%MEM,1.5Gi,K1_O2
1716563420304,%CPU,2.16867%,K1_O2
1716563420406,%MEM,1.5Gi,K1_O2
1716563422044,%CPU,1.69082%,K1_O2
1716563422133,%MEM,1.5Gi,K1_O2
1716563423800,%CPU,1.68675%,K1_O2
1716563423904,%MEM,1.5Gi,K1_O2
1716563425560,%CPU,1.91847%,K1_O2
1716563425653,%MEM,1.5Gi,K1_O2
1716563427296,%CPU,1.44928%,K1_O2
1716563427397,%MEM,1.5Gi,K1_O2
1716563429054,%CPU,2.17391%,K1_O2
1716563429145,%MEM,1.5Gi,K1_O2
1716563430792,%CPU,1.21065%,K1_O2
1716563430897,%MEM,1.5Gi,K1_O2
1716563432542,%CPU,2.16346%,K1_O2
1716563432627,%MEM,1.5Gi,K1_O2
1716563434273,%CPU,1.21359%,K1_O2
1716563434375,%MEM,1.5Gi,K1_O2
1716563436036,%CPU,1.91847%,K1_O2
1716563436123,%MEM,1.5Gi,K1_O2
1716563437767,%CPU,1.21359%,K1_O2
1716563437868,%MEM,1.5Gi,K1_O2
1716563439532,%CPU,1.46699%,K1_O2
1716563439625,%MEM,1.5Gi,K1_O2
1716563441264,%CPU,1.45278%,K1_O2
1716563441354,%MEM,1.5Gi,K1_O2
1716563442996,%CPU,1.69082%,K1_O2
1716563443099,%MEM,1.5Gi,K1_O2
1716563444754,%CPU,2.89157%,K1_O2
1716563444862,%MEM,1.5Gi,K1_O2
