type,amount,platform
1716563299455,%CPU,2.16867%,K1_O2
1716563299555,%MEM,1.5Gi,K1_O2
1716563301208,%CPU,2.16867%,K1_O2
1716563301304,%MEM,1.5Gi,K1_O2
1716563302951,%CPU,1.69903%,K1_O2
1716563303052,%MEM,1.5Gi,K1_O2
1716563304704,%CPU,2.18447%,K1_O2
1716563304794,%MEM,1.5Gi,K1_O2
1716563306431,%CPU,1.94175%,K1_O2
1716563306518,%MEM,1.5Gi,K1_O2
1716563308160,%CPU,1.70316%,K1_O2
1716563308253,%MEM,1.5Gi,K1_O2
1716563309910,%CPU,2.15827%,K1_O2
1716563310002,%MEM,1.5Gi,K1_O2
1716563311661,%CPU,2.91262%,K1_O2
1716563311760,%MEM,1.5Gi,K1_O2
1716563313411,%CPU,1.69903%,K1_O2
1716563313507,%MEM,1.5Gi,K1_O2
1716563315151,%CPU,2.18978%,K1_O2
1716563315256,%MEM,1.5Gi,K1_O2
1716563316916,%CPU,1.44578%,K1_O2
1716563317015,%MEM,1.5Gi,K1_O2
1716563318677,%CPU,2.14797%,K1_O2
1716563318766,%MEM,1.5Gi,K1_O2
1716563320409,%CPU,1.20773%,K1_O2
1716563320508,%MEM,1.5Gi,K1_O2
1716563322148,%CPU,1.69082%,K1_O2
1716563322231,%MEM,1.5Gi,K1_O2
1716563323878,%CPU,1.68675%,K1_O2
1716563323977,%MEM,1.5Gi,K1_O2
1716563325618,%CPU,1.45631%,K1_O2
1716563325706,%MEM,1.5Gi,K1_O2
1716563327345,%CPU,1.44928%,K1_O2
1716563327432,%MEM,1.5Gi,K1_O2
1716563329091,%CPU,1.92771%,K1_O2
1716563329190,%MEM,1.5Gi,K1_O2
1716563330846,%CPU,1.44928%,K1_O2
1716563330938,%MEM,1.5Gi,K1_O2
1716563332582,%CPU,1.44928%,K1_O2
1716563332677,%MEM,1.5Gi,K1_O2
1716563334360,%CPU,2.16867%,K1_O2
1716563334461,%MEM,1.5Gi,K1_O2
1716563336133,%CPU,1.45278%,K1_O2
1716563336237,%MEM,1.5Gi,K1_O2
1716563337905,%CPU,2.63158%,K1_O2
1716563338000,%MEM,1.5Gi,K1_O2
1716563339653,%CPU,2.40385%,K1_O2
1716563339754,%MEM,1.5Gi,K1_O2
1716563341415,%CPU,1.45985%,K1_O2
1716563341512,%MEM,1.5Gi,K1_O2
1716563343158,%CPU,1.68675%,K1_O2
1716563343255,%MEM,1.5Gi,K1_O2
1716563344905,%CPU,2.17391%,K1_O2
1716563344990,%MEM,1.5Gi,K1_O2
1716563346637,%CPU,1.92771%,K1_O2
1716563346736,%MEM,1.5Gi,K1_O2
1716563348394,%CPU,1.69082%,K1_O2
1716563348487,%MEM,1.5Gi,K1_O2
1716563350139,%CPU,1.94175%,K1_O2
1716563350240,%MEM,1.5Gi,K1_O2
1716563351898,%CPU,1.22249%,K1_O2
1716563351982,%MEM,1.5Gi,K1_O2
1716563353633,%CPU,2.18447%,K1_O2
1716563353733,%MEM,1.5Gi,K1_O2
