type,amount,platform
1716563208477,%CPU,1.71149%,K1_O2
1716563208576,%MEM,1.5Gi,K1_O2
1716563210233,%CPU,1.93237%,K1_O2
1716563210324,%MEM,1.5Gi,K1_O2
1716563211966,%CPU,1.92308%,K1_O2
1716563212068,%MEM,1.5Gi,K1_O2
1716563213731,%CPU,1.69492%,K1_O2
1716563213816,%MEM,1.5Gi,K1_O2
1716563215514,%CPU,2.17391%,K1_O2
1716563215617,%MEM,1.5Gi,K1_O2
1716563217263,%CPU,1.44231%,K1_O2
1716563217357,%MEM,1.5Gi,K1_O2
1716563219003,%CPU,1.91847%,K1_O2
1716563219096,%MEM,1.5Gi,K1_O2
1716563220743,%CPU,1.21065%,K1_O2
1716563220831,%MEM,1.5Gi,K1_O2
1716563222466,%CPU,1.69082%,K1_O2
1716563222556,%MEM,1.5Gi,K1_O2
1716563224240,%CPU,2.36967%,K1_O2
1716563224350,%MEM,1.5Gi,K1_O2
1716563225993,%CPU,2.17391%,K1_O2
1716563226090,%MEM,1.5Gi,K1_O2
1716563227744,%CPU,2.15311%,K1_O2
1716563227834,%MEM,1.5Gi,K1_O2
1716563229472,%CPU,1.93705%,K1_O2
1716563229563,%MEM,1.5Gi,K1_O2
1716563231208,%CPU,1.45278%,K1_O2
1716563231299,%MEM,1.5Gi,K1_O2
1716563232945,%CPU,1.69082%,K1_O2
1716563233040,%MEM,1.5Gi,K1_O2
1716563234680,%CPU,2.17391%,K1_O2
1716563234770,%MEM,1.5Gi,K1_O2
1716563236421,%CPU,1.93237%,K1_O2
1716563236512,%MEM,1.5Gi,K1_O2
1716563238155,%CPU,1.70732%,K1_O2
1716563238254,%MEM,1.5Gi,K1_O2
1716563239901,%CPU,1.47059%,K1_O2
1716563239993,%MEM,1.5Gi,K1_O2
1716563241627,%CPU,1.70316%,K1_O2
1716563241714,%MEM,1.5Gi,K1_O2
1716563243390,%CPU,1.92771%,K1_O2
1716563243530,%MEM,1.5Gi,K1_O2
1716563245204,%CPU,2.39808%,K1_O2
1716563245287,%MEM,1.5Gi,K1_O2
1716563246929,%CPU,1.69492%,K1_O2
1716563247052,%MEM,1.5Gi,K1_O2
1716563248712,%CPU,2.39234%,K1_O2
1716563248795,%MEM,1.5Gi,K1_O2
1716563250476,%CPU,2.13777%,K1_O2
1716563250572,%MEM,1.5Gi,K1_O2
1716563252218,%CPU,1.92308%,K1_O2
1716563252296,%MEM,1.5Gi,K1_O2
1716563253944,%CPU,0.973236%,K1_O2
1716563254045,%MEM,1.5Gi,K1_O2
1716563255683,%CPU,1.70316%,K1_O2
1716563255772,%MEM,1.5Gi,K1_O2
1716563257425,%CPU,1.68269%,K1_O2
1716563257519,%MEM,1.5Gi,K1_O2
1716563259168,%CPU,1.44928%,K1_O2
1716563259269,%MEM,1.5Gi,K1_O2
1716563260959,%CPU,3.07329%,K1_O2
1716563261047,%MEM,1.5Gi,K1_O2
1716563262721,%CPU,2.39234%,K1_O2
1716563262828,%MEM,1.5Gi,K1_O2
