framework,namespace,pod,median,std
karmada,cert-manager,cert-manager-7ddd8cdb9f-nflbq,0.0017725910162089,0.0008888751779739679
karmada,cert-manager,cert-manager-cainjector-57cd76c845-kmk9r,0.0018669635333243,0.0008838114728206877
karmada,cert-manager,cert-manager-webhook-cf8f9f895-rxnpk,0.0005696521567589,0.0004222445942778021
karmada,default,management-overhead-client-1-788845fd8d-9fz2l,0.012075217123687,0.00390336767936184
karmada,default,management-overhead-client-10-7df58cf464-z6rms,0.0008414562990209,0.0004983923128211677
karmada,default,management-overhead-client-2-bd854f859-q65xl,0.01274614281562515,0.0030918493003053308
karmada,default,management-overhead-client-3-7b7456c7d-ldhbs,0.0147315718528805,0.0038883387792051035
karmada,default,management-overhead-client-4-b48877bfc-zlxxk,0.0129702770227904,0.003389847992260252
karmada,default,management-overhead-client-5-5cd7987464-ctxj9,0.0009376108041856,0.00037778603303658195
karmada,default,management-overhead-client-6-5575bf9767-hh89v,0.0142133018470003,0.004225858948107329
karmada,default,management-overhead-client-7-854448dc86-m2cwp,0.011436531617999,0.004223432556736986
karmada,default,management-overhead-client-8-86b9f87665-znkv7,0.0143620988359659,0.0036084257498202148
karmada,default,management-overhead-client-9-cd7479948-8qxn4,0.012671375543966,0.008200159322790961
karmada,default,management-overhead-server-1-f5875449f-4gdmc,1.1560987648108978,0.2845877168990593
karmada,default,management-overhead-server-10-6f6c5cb7f-259wt,1.2591358726961186,0.30561632712917647
karmada,default,management-overhead-server-2-5f5448986-mzccb,0.678726430700511,0.19217502681657453
karmada,default,management-overhead-server-3-6c4df7849c-x4dmq,3.2678714684534262,0.6917311302799023
karmada,default,management-overhead-server-4-5c8b69944-q2vmp,0.7387445932552589,0.1941172508192407
karmada,default,management-overhead-server-5-7cbfb958b7-54hs8,3.009891075694646,0.642661128622727
karmada,default,management-overhead-server-6-6d5bc95bf4-bsmjw,1.2226790830719465,0.29203010481693265
karmada,default,management-overhead-server-7-5ddd44945-wh7m5,2.9326638508493197,0.7115753468393315
