DeploymentName,PodName,DeploymentTime,Initialized,PodScheduled,ContainersReady,Ready,DeleteTime,FinalizeDeletionTime
nginx-deployment-17,nginx-deployment-17-6c6b75f5f9-dprpb,2024-05-05T11:32:58+02:00,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05T11:33:39+02:00,2024-05-05T11:33:39+02:00
nginx-deployment-19,nginx-deployment-19-585d4458cc-kdss8,2024-05-05T11:32:58+02:00,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05T11:33:39+02:00,2024-05-05T11:33:39+02:00
nginx-deployment-52,nginx-deployment-52-7dd4d4757b-9h59j,2024-05-05T11:33:05+02:00,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05T11:33:46+02:00,2024-05-05T11:33:46+02:00
nginx-deployment-73,nginx-deployment-73-69bcc68f7-zktpz,2024-05-05T11:33:09+02:00,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05T11:33:50+02:00,2024-05-05T11:33:50+02:00
nginx-deployment-99,nginx-deployment-99-58c8588745-5vf5c,2024-05-05T11:33:14+02:00,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05T11:33:55+02:00,2024-05-05T11:33:55+02:00
nginx-deployment-3,nginx-deployment-3-5c47944bb4-wlcbx,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-7,nginx-deployment-7-68db97d756-d7lsw,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-24,nginx-deployment-24-766f9f4ddf-5wn2s,2024-05-05T11:32:59+02:00,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05T11:33:40+02:00,2024-05-05T11:33:40+02:00
nginx-deployment-26,nginx-deployment-26-f6ddb5c59-q4dvn,2024-05-05T11:33:00+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05T11:33:41+02:00,2024-05-05T11:33:41+02:00
nginx-deployment-54,nginx-deployment-54-688fb675b6-6226h,2024-05-05T11:33:05+02:00,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
