DeploymentName,PodName,DeploymentTime,Initialized,PodScheduled,ContainersReady,Ready,DeleteTime,FinalizeDeletionTime
nginx-deployment-86,nginx-deployment-86-5d59cbd6d5-jzvzr,2024-05-05T11:33:12+02:00,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05T11:33:53+02:00,2024-05-05T11:33:53+02:00
nginx-deployment-92,nginx-deployment-92-6954466dcb-qjm75,2024-05-05T11:33:13+02:00,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05T11:33:54+02:00,2024-05-05T11:33:54+02:00
nginx-deployment-94,nginx-deployment-94-6c87c9c9bb-ngmv6,2024-05-05T11:33:13+02:00,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05T11:33:54+02:00,2024-05-05T11:33:54+02:00
nginx-deployment-38,nginx-deployment-38-bf57b78dd-q7lb6,2024-05-05T11:33:02+02:00,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05T11:33:43+02:00,2024-05-05T11:33:43+02:00
nginx-deployment-53,nginx-deployment-53-7b894c6f75-2z48m,2024-05-05T11:33:05+02:00,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
nginx-deployment-22,nginx-deployment-22-d98d7bc79-428p2,2024-05-05T11:32:59+02:00,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05T11:33:40+02:00,2024-05-05T11:33:40+02:00
nginx-deployment-57,nginx-deployment-57-5b544668cf-v5trl,2024-05-05T11:33:06+02:00,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
nginx-deployment-61,nginx-deployment-61-78f8868fbb-7x2mr,2024-05-05T11:33:07+02:00,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05T11:33:48+02:00,2024-05-05T11:33:48+02:00
nginx-deployment-63,nginx-deployment-63-bf75d769b-hlc9q,2024-05-05T11:33:07+02:00,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05T11:33:48+02:00,2024-05-05T11:33:48+02:00
nginx-deployment-72,nginx-deployment-72-5f794d9598-vd9ps,2024-05-05T11:33:09+02:00,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05T11:33:50+02:00,2024-05-05T11:33:50+02:00
nginx-deployment-77,nginx-deployment-77-59b5df8c97-dtnjq,2024-05-05T11:33:10+02:00,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05T11:33:51+02:00,2024-05-05T11:33:51+02:00
nginx-deployment-97,nginx-deployment-97-64bfb56b9f-b5fk8,2024-05-05T11:33:14+02:00,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05T11:33:55+02:00,2024-05-05T11:33:55+02:00
nginx-deployment-4,nginx-deployment-4-96fb5d45c-4tqrn,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-8,nginx-deployment-8-76c5cbb769-tvdtp,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-14,nginx-deployment-14-8656cb6c9d-g5k4c,2024-05-05T11:32:57+02:00,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-18,nginx-deployment-18-7488c586fd-9gclt,2024-05-05T11:32:58+02:00,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05T11:33:39+02:00,2024-05-05T11:33:39+02:00
nginx-deployment-28,nginx-deployment-28-5cdd78569-9ggll,2024-05-05T11:33:00+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05T11:33:41+02:00,2024-05-05T11:33:41+02:00
nginx-deployment-42,nginx-deployment-42-6cf79d7557-999wb,2024-05-05T11:33:03+02:00,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05T11:33:44+02:00,2024-05-05T11:33:44+02:00
nginx-deployment-47,nginx-deployment-47-c9d8c894b-wdkfd,2024-05-05T11:33:04+02:00,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05T11:33:45+02:00,2024-05-05T11:33:45+02:00
nginx-deployment-84,nginx-deployment-84-6d59796895-qvnc5,2024-05-05T11:33:12+02:00,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05T11:33:52+02:00,2024-05-05T11:33:52+02:00
nginx-deployment-89,nginx-deployment-89-7d5d77554d-jcrx6,2024-05-05T11:33:12+02:00,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05T11:33:53+02:00,2024-05-05T11:33:53+02:00
nginx-deployment-91,nginx-deployment-91-7cffd848bf-dj4zt,2024-05-05T11:33:13+02:00,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05T11:33:54+02:00,2024-05-05T11:33:54+02:00
nginx-deployment-11,nginx-deployment-11-9677cfb57-x5wr9,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-29,nginx-deployment-29-7db9ff4494-mrjpl,2024-05-05T11:33:00+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05T11:33:41+02:00,2024-05-05T11:33:41+02:00
nginx-deployment-55,nginx-deployment-55-6df5fddb57-227vl,2024-05-05T11:33:05+02:00,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
nginx-deployment-70,nginx-deployment-70-6c79ccc7fb-4qknl,2024-05-05T11:33:08+02:00,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05T11:33:50+02:00,2024-05-05T11:33:50+02:00
nginx-deployment-81,nginx-deployment-81-78c7b48c5b-n9q9k,2024-05-05T11:33:11+02:00,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05T11:33:52+02:00,2024-05-05T11:33:52+02:00
nginx-deployment-93,nginx-deployment-93-568dd7768c-5d8mk,2024-05-05T11:33:13+02:00,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05T11:33:54+02:00,2024-05-05T11:33:54+02:00
