instance,timestamp,value
10.100.253.191:9100,1716830214.89,3.9921343820824013
10.100.253.191:9100,1716830215.89,3.9921343820824013
10.100.253.191:9100,1716830216.89,3.9921343820824013
10.100.253.191:9100,1716830217.89,3.9921343820824013
10.100.253.191:9100,1716830218.89,3.9921343820824013
10.100.253.191:9100,1716830219.89,3.9921343820824013
10.100.253.191:9100,1716830220.89,3.9921343820824013
10.100.253.191:9100,1716830221.89,3.9921343820824013
10.100.253.191:9100,1716830222.89,3.9921343820824013
10.100.253.191:9100,1716830223.89,3.9921343820824013
10.100.253.191:9100,1716830224.89,3.9921343820824013
10.100.253.191:9100,1716830225.89,3.9921343820824013
10.100.253.191:9100,1716830226.89,3.9921343820824013
10.100.253.191:9100,1716830227.89,3.9921343820824013
10.100.253.191:9100,1716830228.89,3.9908654487265
10.100.253.191:9100,1716830229.89,3.9908654487265
10.100.253.191:9100,1716830230.89,3.9908654487265
10.100.253.191:9100,1716830231.89,3.9908654487265
10.100.253.191:9100,1716830232.89,3.9908654487265
10.100.253.191:9100,1716830233.89,3.9908654487265
10.100.253.191:9100,1716830234.89,3.9908654487265
10.100.253.191:9100,1716830235.89,3.9908654487265
10.100.253.191:9100,1716830236.89,3.9908654487265
10.100.253.191:9100,1716830237.89,3.9908654487265
10.100.253.191:9100,1716830238.89,3.9908654487265
10.100.253.191:9100,1716830239.89,3.9908654487265
10.100.253.191:9100,1716830240.89,3.9908654487265
10.100.253.191:9100,1716830241.89,3.9908654487265
10.100.253.191:9100,1716830242.89,3.9908654487265
10.100.253.191:9100,1716830243.89,3.9908654487265
10.100.253.191:9100,1716830244.89,3.9908654487265
10.100.253.191:9100,1716830245.89,3.9908654487265
10.100.253.191:9100,1716830246.89,3.9908654487265
10.100.253.191:9100,1716830247.89,3.9908654487265
10.100.253.191:9100,1716830248.89,3.9908654487265
10.100.253.191:9100,1716830249.89,3.9908654487265
10.100.253.191:9100,1716830250.89,3.9908654487265
10.100.253.191:9100,1716830251.89,3.9908654487265
10.100.253.191:9100,1716830252.89,3.9908654487265
10.100.253.191:9100,1716830253.89,3.9908654487265
10.100.253.191:9100,1716830254.89,3.9908654487265
10.100.253.191:9100,1716830255.89,3.9908654487265
10.100.253.191:9100,1716830256.89,3.9908654487265
10.100.253.191:9100,1716830257.89,3.9908654487265
10.100.253.191:9100,1716830258.89,3.9934675376617075
10.100.253.191:9100,1716830259.89,3.9934675376617075
10.100.253.191:9100,1716830260.89,3.9934675376617075
10.100.253.191:9100,1716830261.89,3.9934675376617075
10.100.253.191:9100,1716830262.89,3.9934675376617075
10.100.253.191:9100,1716830263.89,3.9934675376617075
10.100.253.191:9100,1716830264.89,3.9934675376617075
10.100.253.191:9100,1716830265.89,3.9934675376617075
10.100.253.191:9100,1716830266.89,3.9934675376617075
10.100.253.191:9100,1716830267.89,3.9934675376617075
10.100.253.191:9100,1716830268.89,3.9934675376617075
10.100.253.191:9100,1716830269.89,3.9934675376617075
10.100.253.191:9100,1716830270.89,3.9934675376617075
10.100.253.191:9100,1716830271.89,3.9934675376617075
10.100.253.191:9100,1716830272.89,3.9934675376617075
10.100.253.191:9100,1716830273.89,3.9934675376617075
10.100.253.191:9100,1716830274.89,3.9934675376617075
