type,amount,platform
1716557826454,%CPU,1.68269%,K3_O0
1716557826552,%MEM,1.5Gi,K3_O0
1716557828221,%CPU,1.92308%,K3_O0
1716557828336,%MEM,1.5Gi,K3_O0
1716557830017,%CPU,1.91847%,K3_O0
1716557830115,%MEM,1.5Gi,K3_O0
1716557831760,%CPU,1.21065%,K3_O0
1716557831854,%MEM,1.5Gi,K3_O0
1716557833504,%CPU,1.68269%,K3_O0
1716557833600,%MEM,1.5Gi,K3_O0
1716557835262,%CPU,1.91388%,K3_O0
1716557835361,%MEM,1.5Gi,K3_O0
1716557837039,%CPU,2.1327%,K3_O0
1716557837148,%MEM,1.5Gi,K3_O0
1716557838810,%CPU,1.44928%,K3_O0
1716557838897,%MEM,1.5Gi,K3_O0
1716557840552,%CPU,1.68269%,K3_O0
1716557840661,%MEM,1.5Gi,K3_O0
1716557842333,%CPU,1.91388%,K3_O0
1716557842441,%MEM,1.5Gi,K3_O0
1716557844116,%CPU,2.14797%,K3_O0
1716557844220,%MEM,1.5Gi,K3_O0
1716557845893,%CPU,1.92308%,K3_O0
1716557845985,%MEM,1.5Gi,K3_O0
1716557847644,%CPU,2.6253%,K3_O0
1716557847741,%MEM,1.5Gi,K3_O0
1716557849395,%CPU,1.69492%,K3_O0
1716557849507,%MEM,1.5Gi,K3_O0
1716557851170,%CPU,1.94647%,K3_O0
1716557851273,%MEM,1.5Gi,K3_O0
1716557852927,%CPU,1.69082%,K3_O0
1716557853021,%MEM,1.5Gi,K3_O0
1716557854677,%CPU,1.21951%,K3_O0
1716557854787,%MEM,1.5Gi,K3_O0
1716557856490,%CPU,2.61283%,K3_O0
1716557856607,%MEM,1.5Gi,K3_O0
1716557858268,%CPU,2.38663%,K3_O0
1716557858367,%MEM,1.5Gi,K3_O0
1716557860015,%CPU,1.68675%,K3_O0
1716557860106,%MEM,1.5Gi,K3_O0
1716557861771,%CPU,1.68269%,K3_O0
1716557861869,%MEM,1.5Gi,K3_O0
1716557863520,%CPU,1.68675%,K3_O0
1716557863610,%MEM,1.5Gi,K3_O0
1716557865271,%CPU,1.45278%,K3_O0
1716557865376,%MEM,1.5Gi,K3_O0
1716557867034,%CPU,1.69082%,K3_O0
1716557867121,%MEM,1.5Gi,K3_O0
1716557868775,%CPU,1.45631%,K3_O0
1716557868888,%MEM,1.5Gi,K3_O0
1716557870530,%CPU,1.44928%,K3_O0
1716557870628,%MEM,1.5Gi,K3_O0
1716557872266,%CPU,1.45278%,K3_O0
1716557872360,%MEM,1.5Gi,K3_O0
1716557874013,%CPU,1.92771%,K3_O0
1716557874123,%MEM,1.5Gi,K3_O0
1716557875798,%CPU,1.21951%,K3_O0
1716557875910,%MEM,1.5Gi,K3_O0
1716557877564,%CPU,1.69082%,K3_O0
1716557877661,%MEM,1.5Gi,K3_O0
1716557879323,%CPU,2.15311%,K3_O0
1716557879424,%MEM,1.5Gi,K3_O0
1716557881092,%CPU,2.15827%,K3_O0
1716557881201,%MEM,1.5Gi,K3_O0
