type,amount,platform
1716557553510,%CPU,1.68675%,K3_O0
1716557553606,%MEM,1.5Gi,K3_O0
1716557555257,%CPU,1.68675%,K3_O0
1716557555357,%MEM,1.5Gi,K3_O0
1716557557059,%CPU,2.60047%,K3_O0
1716557557174,%MEM,1.5Gi,K3_O0
1716557558842,%CPU,1.44578%,K3_O0
1716557558946,%MEM,1.5Gi,K3_O0
1716557560610,%CPU,1.67866%,K3_O0
1716557560710,%MEM,1.5Gi,K3_O0
1716557562363,%CPU,1.91847%,K3_O0
1716557562452,%MEM,1.5Gi,K3_O0
1716557564098,%CPU,1.93237%,K3_O0
1716557564189,%MEM,1.5Gi,K3_O0
1716557565859,%CPU,1.67866%,K3_O0
1716557565961,%MEM,1.5Gi,K3_O0
1716557567618,%CPU,1.91847%,K3_O0
1716557567713,%MEM,1.5Gi,K3_O0
1716557569364,%CPU,2.17391%,K3_O0
1716557569461,%MEM,1.5Gi,K3_O0
1716557571108,%CPU,1.44578%,K3_O0
1716557571203,%MEM,1.5Gi,K3_O0
1716557572860,%CPU,1.44928%,K3_O0
1716557572962,%MEM,1.5Gi,K3_O0
1716557574616,%CPU,1.46341%,K3_O0
1716557574715,%MEM,1.5Gi,K3_O0
1716557576369,%CPU,2.17918%,K3_O0
1716557576474,%MEM,1.5Gi,K3_O0
1716557578138,%CPU,2.14797%,K3_O0
1716557578241,%MEM,1.5Gi,K3_O0
1716557579911,%CPU,2.16346%,K3_O0
1716557580005,%MEM,1.5Gi,K3_O0
1716557581650,%CPU,1.45278%,K3_O0
1716557581741,%MEM,1.5Gi,K3_O0
1716557583388,%CPU,1.69082%,K3_O0
1716557583493,%MEM,1.5Gi,K3_O0
1716557585140,%CPU,1.44578%,K3_O0
1716557585232,%MEM,1.5Gi,K3_O0
1716557586885,%CPU,1.69082%,K3_O0
1716557586992,%MEM,1.5Gi,K3_O0
1716557588642,%CPU,1.93705%,K3_O0
1716557588732,%MEM,1.5Gi,K3_O0
1716557590377,%CPU,1.21065%,K3_O0
1716557590479,%MEM,1.5Gi,K3_O0
1716557592135,%CPU,1.45985%,K3_O0
1716557592236,%MEM,1.5Gi,K3_O0
1716557593897,%CPU,1.69082%,K3_O0
1716557593988,%MEM,1.5Gi,K3_O0
1716557595634,%CPU,1.44928%,K3_O0
1716557595734,%MEM,1.5Gi,K3_O0
1716557597375,%CPU,1.45985%,K3_O0
1716557597466,%MEM,1.5Gi,K3_O0
1716557599116,%CPU,1.68675%,K3_O0
1716557599219,%MEM,1.5Gi,K3_O0
1716557600876,%CPU,1.44928%,K3_O0
1716557600977,%MEM,1.5Gi,K3_O0
1716557602673,%CPU,1.91847%,K3_O0
1716557602777,%MEM,1.5Gi,K3_O0
1716557604438,%CPU,1.69903%,K3_O0
1716557604558,%MEM,1.5Gi,K3_O0
1716557606208,%CPU,2.16346%,K3_O0
1716557606304,%MEM,1.5Gi,K3_O0
1716557607948,%CPU,2.17918%,K3_O0
1716557608046,%MEM,1.5Gi,K3_O0
