type,amount,platform
1716557917259,%CPU,1.91388%,K3_O0
1716557917367,%MEM,1.5Gi,K3_O0
1716557919027,%CPU,1.69082%,K3_O0
1716557919137,%MEM,1.5Gi,K3_O0
1716557920788,%CPU,1.92308%,K3_O0
1716557920893,%MEM,1.5Gi,K3_O0
1716557922558,%CPU,1.67866%,K3_O0
1716557922663,%MEM,1.5Gi,K3_O0
1716557924318,%CPU,1.68675%,K3_O0
1716557924411,%MEM,1.5Gi,K3_O0
1716557926072,%CPU,1.92771%,K3_O0
1716557926203,%MEM,1.5Gi,K3_O0
1716557927889,%CPU,2.63789%,K3_O0
1716557928006,%MEM,1.5Gi,K3_O0
1716557929657,%CPU,2.15311%,K3_O0
1716557929771,%MEM,1.5Gi,K3_O0
1716557931433,%CPU,1.92308%,K3_O0
1716557931535,%MEM,1.5Gi,K3_O0
1716557933189,%CPU,1.92308%,K3_O0
1716557933282,%MEM,1.5Gi,K3_O0
1716557934936,%CPU,1.45278%,K3_O0
1716557935027,%MEM,1.5Gi,K3_O0
1716557936674,%CPU,2.16867%,K3_O0
1716557936774,%MEM,1.5Gi,K3_O0
1716557938432,%CPU,1.92771%,K3_O0
1716557938535,%MEM,1.5Gi,K3_O0
1716557940196,%CPU,1.91847%,K3_O0
1716557940295,%MEM,1.5Gi,K3_O0
1716557941966,%CPU,2.15311%,K3_O0
1716557942055,%MEM,1.5Gi,K3_O0
1716557943704,%CPU,2.15827%,K3_O0
1716557943808,%MEM,1.5Gi,K3_O0
1716557945466,%CPU,1.68675%,K3_O0
1716557945573,%MEM,1.5Gi,K3_O0
1716557947254,%CPU,1.66667%,K3_O0
1716557947368,%MEM,1.5Gi,K3_O0
1716557949021,%CPU,1.68269%,K3_O0
1716557949130,%MEM,1.5Gi,K3_O0
1716557950778,%CPU,1.92308%,K3_O0
1716557950877,%MEM,1.5Gi,K3_O0
1716557952566,%CPU,1.90931%,K3_O0
1716557952673,%MEM,1.5Gi,K3_O0
1716557954346,%CPU,1.91388%,K3_O0
1716557954448,%MEM,1.5Gi,K3_O0
1716557956117,%CPU,2.17391%,K3_O0
1716557956227,%MEM,1.5Gi,K3_O0
1716557957883,%CPU,1.45631%,K3_O0
1716557957980,%MEM,1.5Gi,K3_O0
1716557959632,%CPU,1.45278%,K3_O0
1716557959724,%MEM,1.5Gi,K3_O0
1716557961389,%CPU,2.20049%,K3_O0
1716557961493,%MEM,1.5Gi,K3_O0
1716557963141,%CPU,1.69082%,K3_O0
1716557963253,%MEM,1.5Gi,K3_O0
1716557964928,%CPU,1.90931%,K3_O0
1716557965035,%MEM,1.5Gi,K3_O0
1716557966709,%CPU,2.17918%,K3_O0
1716557966807,%MEM,1.5Gi,K3_O0
1716557968449,%CPU,1.45278%,K3_O0
1716557968539,%MEM,1.5Gi,K3_O0
1716557970198,%CPU,1.92771%,K3_O0
1716557970298,%MEM,1.5Gi,K3_O0
1716557971972,%CPU,1.93237%,K3_O0
1716557972092,%MEM,1.5Gi,K3_O0
