type,amount,platform
1716557644532,%CPU,2.16346%,K3_O0
1716557644633,%MEM,1.5Gi,K3_O0
1716557646297,%CPU,2.14286%,K3_O0
1716557646397,%MEM,1.5Gi,K3_O0
1716557648063,%CPU,2.61905%,K3_O0
1716557648176,%MEM,1.5Gi,K3_O0
1716557649835,%CPU,1.93705%,K3_O0
1716557649943,%MEM,1.5Gi,K3_O0
1716557651599,%CPU,1.45278%,K3_O0
1716557651696,%MEM,1.5Gi,K3_O0
1716557653344,%CPU,1.45278%,K3_O0
1716557653435,%MEM,1.5Gi,K3_O0
1716557655084,%CPU,1.93237%,K3_O0
1716557655192,%MEM,1.5Gi,K3_O0
1716557656844,%CPU,1.45278%,K3_O0
1716557656934,%MEM,1.5Gi,K3_O0
1716557658579,%CPU,1.45985%,K3_O0
1716557658672,%MEM,1.5Gi,K3_O0
1716557660319,%CPU,2.16346%,K3_O0
1716557660411,%MEM,1.5Gi,K3_O0
1716557662063,%CPU,1.91388%,K3_O0
1716557662182,%MEM,1.5Gi,K3_O0
1716557663835,%CPU,1.69492%,K3_O0
1716557663930,%MEM,1.5Gi,K3_O0
1716557665593,%CPU,1.44928%,K3_O0
1716557665696,%MEM,1.5Gi,K3_O0
1716557667351,%CPU,2.16867%,K3_O0
1716557667464,%MEM,1.5Gi,K3_O0
1716557669116,%CPU,1.70732%,K3_O0
1716557669211,%MEM,1.5Gi,K3_O0
1716557670857,%CPU,1.69492%,K3_O0
1716557670945,%MEM,1.5Gi,K3_O0
1716557672596,%CPU,1.69082%,K3_O0
1716557672699,%MEM,1.5Gi,K3_O0
1716557674351,%CPU,1.44928%,K3_O0
1716557674451,%MEM,1.5Gi,K3_O0
1716557676104,%CPU,1.45278%,K3_O0
1716557676199,%MEM,1.5Gi,K3_O0
1716557677861,%CPU,1.67464%,K3_O0
1716557677958,%MEM,1.5Gi,K3_O0
1716557679650,%CPU,2.39808%,K3_O0
1716557679762,%MEM,1.5Gi,K3_O0
1716557681425,%CPU,1.44928%,K3_O0
1716557681526,%MEM,1.5Gi,K3_O0
1716557683191,%CPU,2.15311%,K3_O0
1716557683299,%MEM,1.5Gi,K3_O0
1716557684968,%CPU,1.7199%,K3_O0
1716557685073,%MEM,1.5Gi,K3_O0
1716557686719,%CPU,1.44928%,K3_O0
1716557686819,%MEM,1.5Gi,K3_O0
1716557688474,%CPU,1.92771%,K3_O0
1716557688566,%MEM,1.5Gi,K3_O0
1716557690223,%CPU,2.16346%,K3_O0
1716557690326,%MEM,1.5Gi,K3_O0
1716557691981,%CPU,2.16346%,K3_O0
1716557692072,%MEM,1.5Gi,K3_O0
1716557693714,%CPU,1.45278%,K3_O0
1716557693802,%MEM,1.5Gi,K3_O0
1716557695460,%CPU,1.69492%,K3_O0
1716557695569,%MEM,1.5Gi,K3_O0
1716557697233,%CPU,2.15311%,K3_O0
1716557697321,%MEM,1.5Gi,K3_O0
1716557698967,%CPU,1.92771%,K3_O0
1716557699066,%MEM,1.5Gi,K3_O0
