framework,namespace,pod,container,type,network_type,value
karmada,default,management-overhead-client-4-b48877bfc-zlxxk,POD,received_bytes,kubernetes,36216.31489242725
karmada,default,management-overhead-client-4-b48877bfc-zlxxk,POD,received_packets,kubernetes,540.7686236360396
karmada,default,management-overhead-client-4-b48877bfc-zlxxk,POD,transmit_bytes,kubernetes,37525.213337557914
karmada,default,management-overhead-client-4-b48877bfc-zlxxk,POD,transmit_packets,kubernetes,560.5031898108326
karmada,default,management-overhead-client-5-5cd7987464-ctxj9,POD,received_bytes,kubernetes,2611.939923376343
karmada,default,management-overhead-client-5-5cd7987464-ctxj9,POD,received_packets,kubernetes,39.04319183985202
karmada,default,management-overhead-client-5-5cd7987464-ctxj9,POD,transmit_bytes,kubernetes,2736.0000456463436
karmada,default,management-overhead-client-5-5cd7987464-ctxj9,POD,transmit_packets,kubernetes,40.77450821490067
karmada,default,management-overhead-client-6-5575bf9767-hh89v,POD,received_bytes,kubernetes,43865.06114101888
karmada,default,management-overhead-client-6-5575bf9767-hh89v,POD,received_packets,kubernetes,654.4177366396804
karmada,default,management-overhead-client-6-5575bf9767-hh89v,POD,transmit_bytes,kubernetes,45084.7450766786
karmada,default,management-overhead-client-6-5575bf9767-hh89v,POD,transmit_packets,kubernetes,674.0369534600721
karmada,default,management-overhead-client-7-854448dc86-m2cwp,POD,received_bytes,kubernetes,52312.33634794553
karmada,default,management-overhead-client-7-854448dc86-m2cwp,POD,received_packets,kubernetes,780.7505186483928
karmada,default,management-overhead-client-7-854448dc86-m2cwp,POD,transmit_bytes,kubernetes,53912.35901525427
karmada,default,management-overhead-client-7-854448dc86-m2cwp,POD,transmit_packets,kubernetes,805.6823860220502
karmada,default,management-overhead-client-8-86b9f87665-znkv7,POD,received_bytes,kubernetes,45828.0674062777
karmada,default,management-overhead-client-8-86b9f87665-znkv7,POD,received_packets,kubernetes,683.9690099571862
karmada,default,management-overhead-client-8-86b9f87665-znkv7,POD,transmit_bytes,kubernetes,47172.341409066146
karmada,default,management-overhead-client-8-86b9f87665-znkv7,POD,transmit_packets,kubernetes,704.6898572153556
karmada,default,management-overhead-client-9-cd7479948-8qxn4,POD,received_bytes,kubernetes,36817.93134752059
karmada,default,management-overhead-client-9-cd7479948-8qxn4,POD,received_packets,kubernetes,549.4617670544767
karmada,default,management-overhead-client-9-cd7479948-8qxn4,POD,transmit_bytes,kubernetes,38089.10552682658
karmada,default,management-overhead-client-9-cd7479948-8qxn4,POD,transmit_packets,kubernetes,569.4401165274539
karmada,default,management-overhead-server-1-f5875449f-4gdmc,POD,received_bytes,kubernetes,21671.01902959954
karmada,default,management-overhead-server-1-f5875449f-4gdmc,POD,received_packets,kubernetes,324.2534816271313
karmada,default,management-overhead-server-1-f5875449f-4gdmc,POD,transmit_bytes,kubernetes,21492.016539711552
karmada,default,management-overhead-server-1-f5875449f-4gdmc,POD,transmit_packets,kubernetes,321.00898324212903
karmada,default,management-overhead-server-10-6f6c5cb7f-259wt,POD,received_bytes,kubernetes,22781.751970594105
karmada,default,management-overhead-server-10-6f6c5cb7f-259wt,POD,received_packets,kubernetes,340.7607021249327
karmada,default,management-overhead-server-10-6f6c5cb7f-259wt,POD,transmit_bytes,kubernetes,22591.98264592172
karmada,default,management-overhead-server-10-6f6c5cb7f-259wt,POD,transmit_packets,kubernetes,337.3163030523044
karmada,default,management-overhead-server-2-5f5448986-mzccb,POD,received_bytes,kubernetes,14935.86549594783
karmada,default,management-overhead-server-2-5f5448986-mzccb,POD,received_packets,kubernetes,223.50749171487917
karmada,default,management-overhead-server-2-5f5448986-mzccb,POD,transmit_bytes,kubernetes,14800.773247190535
karmada,default,management-overhead-server-2-5f5448986-mzccb,POD,transmit_packets,kubernetes,220.98613747798368
karmada,default,management-overhead-server-3-6c4df7849c-x4dmq,POD,received_bytes,kubernetes,59735.860315916165
