pod,instance,timestamp,value
calico-node-gwvg9,10.100.253.191:10250,1716813798.107,0.013276440265405087
calico-node-gwvg9,10.100.253.191:10250,1716813799.107,0.013644193413207951
calico-node-gwvg9,10.100.253.191:10250,1716813800.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813801.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813802.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813803.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813804.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813805.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813806.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813807.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813808.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813809.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813810.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813811.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813812.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813813.107,0.034666236218338725
calico-node-gwvg9,10.100.253.191:10250,1716813814.107,0.03757093445625964
calico-node-gwvg9,10.100.253.191:10250,1716813815.107,0.037203181308456776
calico-node-gwvg9,10.100.253.191:10250,1716813816.107,0.03683542816065391
calico-node-gwvg9,10.100.253.191:10250,1716813817.107,0.036467675012851045
calico-node-gwvg9,10.100.253.191:10250,1716813818.107,0.036099921865048186
calico-node-gwvg9,10.100.253.191:10250,1716813819.107,0.033844740231498555
calico-node-gwvg9,10.100.253.191:10250,1716813820.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813821.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813822.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813823.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813824.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813825.107,0.04455286017904822
calico-node-gwvg9,10.100.253.191:10250,1716813826.107,0.033954878493409314
calico-node-gwvg9,10.100.253.191:10250,1716813827.107,0.0342693333603938
calico-node-gwvg9,10.100.253.191:10250,1716813828.107,0.03458378822737827
calico-node-gwvg9,10.100.253.191:10250,1716813829.107,0.034898243094362756
calico-node-gwvg9,10.100.253.191:10250,1716813830.107,0.03535781060486874
calico-node-gwvg9,10.100.253.191:10250,1716813831.107,0.03567226547185323
calico-node-gwvg9,10.100.253.191:10250,1716813832.107,0.03598672033883771
calico-node-gwvg9,10.100.253.191:10250,1716813833.107,0.03630117520582219
calico-node-gwvg9,10.100.253.191:10250,1716813834.107,0.036615630072806674
calico-node-gwvg9,10.100.253.191:10250,1716813835.107,0.036930084939791157
calico-node-gwvg9,10.100.253.191:10250,1716813836.107,0.03724453980677564
calico-node-gwvg9,10.100.253.191:10250,1716813837.107,0.037558994673760115
calico-node-gwvg9,10.100.253.191:10250,1716813838.107,0.04143732377571323
calico-node-gwvg9,10.100.253.191:10250,1716813839.107,0.04143732377571323
calico-node-gwvg9,10.100.253.191:10250,1716813840.107,0.04143732377571323
calico-node-gwvg9,10.100.253.191:10250,1716813841.107,0.03745994139066001
calico-node-gwvg9,10.100.253.191:10250,1716813842.107,0.037145486523675525
calico-node-gwvg9,10.100.253.191:10250,1716813843.107,0.03683103165669105
calico-node-gwvg9,10.100.253.191:10250,1716813844.107,0.013946545033062243
calico-node-gwvg9,10.100.253.191:10250,1716813845.107,0.013632090166077766
calico-node-gwvg9,10.100.253.191:10250,1716813846.107,0.013317635299093281
calico-node-gwvg9,10.100.253.191:10250,1716813847.107,0.0130031804321088
calico-node-gwvg9,10.100.253.191:10250,1716813848.107,0.012688725565124319
calico-node-gwvg9,10.100.253.191:10250,1716813849.107,0.037638773837642144
calico-node-gwvg9,10.100.253.191:10250,1716813850.107,0.03732431897065766
calico-node-gwvg9,10.100.253.191:10250,1716813851.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813852.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813853.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813854.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813855.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813856.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813857.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813858.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813859.107,0.04864636156376305
calico-node-gwvg9,10.100.253.191:10250,1716813860.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813861.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813862.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813863.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813864.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813865.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813866.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813867.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813868.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813869.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813870.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813871.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813872.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813873.107,0.05139895324419834
calico-node-gwvg9,10.100.253.191:10250,1716813874.107,0.05139895324419834
