type,amount,platform
1716562400894,%CPU,1.93705%,K2_O1
1716562400980,%MEM,1.6Gi,K2_O1
1716562402618,%CPU,1.45278%,K2_O1
1716562402702,%MEM,1.5Gi,K2_O1
1716562404341,%CPU,1.69492%,K2_O1
1716562404434,%MEM,1.6Gi,K2_O1
1716562406076,%CPU,1.69903%,K2_O1
1716562406171,%MEM,1.6Gi,K2_O1
1716562407814,%CPU,1.68675%,K2_O1
1716562407909,%MEM,1.6Gi,K2_O1
1716562409555,%CPU,1.69903%,K2_O1
1716562409658,%MEM,1.5Gi,K2_O1
1716562411315,%CPU,2.18447%,K2_O1
1716562411405,%MEM,1.5Gi,K2_O1
1716562413049,%CPU,1.68269%,K2_O1
1716562413132,%MEM,1.6Gi,K2_O1
1716562414771,%CPU,1.71149%,K2_O1
1716562414864,%MEM,1.5Gi,K2_O1
1716562416519,%CPU,2.18447%,K2_O1
1716562416622,%MEM,1.6Gi,K2_O1
1716562418271,%CPU,1.44578%,K2_O1
1716562418365,%MEM,1.5Gi,K2_O1
1716562420014,%CPU,1.69492%,K2_O1
1716562420096,%MEM,1.5Gi,K2_O1
1716562421744,%CPU,1.93237%,K2_O1
1716562421840,%MEM,1.6Gi,K2_O1
1716562423492,%CPU,1.21951%,K2_O1
1716562423583,%MEM,1.5Gi,K2_O1
1716562425245,%CPU,1.90931%,K2_O1
1716562425340,%MEM,1.6Gi,K2_O1
1716562426981,%CPU,1.21065%,K2_O1
1716562427068,%MEM,1.6Gi,K2_O1
1716562428724,%CPU,2.14797%,K2_O1
1716562428817,%MEM,1.6Gi,K2_O1
1716562430471,%CPU,1.92308%,K2_O1
1716562430569,%MEM,1.6Gi,K2_O1
1716562432231,%CPU,1.67464%,K2_O1
1716562432332,%MEM,1.6Gi,K2_O1
1716562433992,%CPU,1.45278%,K2_O1
1716562434098,%MEM,1.5Gi,K2_O1
1716562435774,%CPU,2.15827%,K2_O1
1716562435868,%MEM,1.5Gi,K2_O1
1716562437516,%CPU,1.94175%,K2_O1
1716562437608,%MEM,1.6Gi,K2_O1
1716562439245,%CPU,1.45631%,K2_O1
1716562439341,%MEM,1.6Gi,K2_O1
1716562441000,%CPU,2.39808%,K2_O1
1716562441093,%MEM,1.6Gi,K2_O1
1716562442743,%CPU,1.68269%,K2_O1
1716562442841,%MEM,1.6Gi,K2_O1
1716562444496,%CPU,2.40385%,K2_O1
1716562444600,%MEM,1.6Gi,K2_O1
1716562446260,%CPU,2.41287%,K2_O1
1716562446357,%MEM,1.6Gi,K2_O1
1716562448005,%CPU,1.69082%,K2_O1
1716562448102,%MEM,1.6Gi,K2_O1
1716562449739,%CPU,2.16867%,K2_O1
1716562449828,%MEM,1.6Gi,K2_O1
1716562451468,%CPU,2.16867%,K2_O1
1716562451548,%MEM,1.6Gi,K2_O1
1716562453203,%CPU,1.69492%,K2_O1
1716562453293,%MEM,1.5Gi,K2_O1
1716562454933,%CPU,1.69492%,K2_O1
1716562455028,%MEM,1.6Gi,K2_O1
