type,amount,platform
1716562582632,%CPU,1.45631%,K2_O1
1716562582734,%MEM,1.5Gi,K2_O1
1716562584400,%CPU,2.38663%,K2_O1
1716562584517,%MEM,1.5Gi,K2_O1
1716562586165,%CPU,2.42131%,K2_O1
1716562586250,%MEM,1.5Gi,K2_O1
1716562587925,%CPU,2.3753%,K2_O1
1716562588029,%MEM,1.5Gi,K2_O1
1716562589680,%CPU,1.91847%,K2_O1
1716562589766,%MEM,1.5Gi,K2_O1
1716562591421,%CPU,3.46535%,K2_O1
1716562591508,%MEM,1.5Gi,K2_O1
1716562593169,%CPU,1.44231%,K2_O1
1716562593317,%MEM,1.5Gi,K2_O1
1716562595018,%CPU,2.64423%,K2_O1
1716562595122,%MEM,1.5Gi,K2_O1
1716562596788,%CPU,2.6699%,K2_O1
1716562596904,%MEM,1.5Gi,K2_O1
1716562598565,%CPU,1.68675%,K2_O1
1716562598660,%MEM,1.5Gi,K2_O1
1716562600304,%CPU,1.45631%,K2_O1
1716562600393,%MEM,1.5Gi,K2_O1
1716562602052,%CPU,1.92308%,K2_O1
1716562602146,%MEM,1.5Gi,K2_O1
1716562603809,%CPU,2.15311%,K2_O1
1716562603903,%MEM,1.5Gi,K2_O1
1716562605553,%CPU,1.94175%,K2_O1
1716562605659,%MEM,1.5Gi,K2_O1
1716562607330,%CPU,1.91847%,K2_O1
1716562607464,%MEM,1.5Gi,K2_O1
1716562609120,%CPU,1.44928%,K2_O1
1716562609204,%MEM,1.5Gi,K2_O1
1716562610853,%CPU,1.92308%,K2_O1
1716562610944,%MEM,1.5Gi,K2_O1
1716562612595,%CPU,1.20773%,K2_O1
1716562612687,%MEM,1.5Gi,K2_O1
1716562614332,%CPU,1.21359%,K2_O1
1716562614430,%MEM,1.5Gi,K2_O1
1716562616089,%CPU,2.16346%,K2_O1
1716562616176,%MEM,1.5Gi,K2_O1
1716562617817,%CPU,1.69082%,K2_O1
1716562617905,%MEM,1.5Gi,K2_O1
1716562619545,%CPU,1.69082%,K2_O1
1716562619634,%MEM,1.5Gi,K2_O1
1716562621301,%CPU,2.16867%,K2_O1
1716562621397,%MEM,1.5Gi,K2_O1
1716562623038,%CPU,1.69082%,K2_O1
1716562623130,%MEM,1.5Gi,K2_O1
1716562624778,%CPU,1.44928%,K2_O1
1716562624868,%MEM,1.5Gi,K2_O1
1716562626503,%CPU,1.75439%,K2_O1
1716562626589,%MEM,1.5Gi,K2_O1
1716562628237,%CPU,1.68675%,K2_O1
1716562628328,%MEM,1.5Gi,K2_O1
1716562629967,%CPU,1.46699%,K2_O1
1716562630070,%MEM,1.5Gi,K2_O1
1716562631719,%CPU,2.19512%,K2_O1
1716562631806,%MEM,1.5Gi,K2_O1
1716562633452,%CPU,1.44578%,K2_O1
1716562633551,%MEM,1.5Gi,K2_O1
1716562635217,%CPU,2.38663%,K2_O1
1716562635334,%MEM,1.5Gi,K2_O1
1716562637002,%CPU,2.39234%,K2_O1
1716562637095,%MEM,1.5Gi,K2_O1
