type,amount,platform
1716562309836,%CPU,1.94647%,K2_O1
1716562309930,%MEM,1.5Gi,K2_O1
1716562311574,%CPU,2.18447%,K2_O1
1716562311664,%MEM,1.5Gi,K2_O1
1716562313309,%CPU,1.45278%,K2_O1
1716562313411,%MEM,1.5Gi,K2_O1
1716562315072,%CPU,1.91847%,K2_O1
1716562315161,%MEM,1.5Gi,K2_O1
1716562316811,%CPU,3.01508%,K2_O1
1716562316904,%MEM,1.5Gi,K2_O1
1716562318547,%CPU,1.69492%,K2_O1
1716562318640,%MEM,1.5Gi,K2_O1
1716562320295,%CPU,2.40385%,K2_O1
1716562320390,%MEM,1.5Gi,K2_O1
1716562322039,%CPU,1.69492%,K2_O1
1716562322131,%MEM,1.5Gi,K2_O1
1716562323791,%CPU,1.45278%,K2_O1
1716562323880,%MEM,1.5Gi,K2_O1
1716562325523,%CPU,1.93237%,K2_O1
1716562325612,%MEM,1.5Gi,K2_O1
1716562327252,%CPU,1.21065%,K2_O1
1716562327346,%MEM,1.5Gi,K2_O1
1716562329004,%CPU,2.16867%,K2_O1
1716562329110,%MEM,1.5Gi,K2_O1
1716562330772,%CPU,1.91388%,K2_O1
1716562330864,%MEM,1.5Gi,K2_O1
1716562332507,%CPU,1.68675%,K2_O1
1716562332613,%MEM,1.5Gi,K2_O1
1716562334258,%CPU,2.16346%,K2_O1
1716562334355,%MEM,1.5Gi,K2_O1
1716562336002,%CPU,1.98511%,K2_O1
1716562336087,%MEM,1.5Gi,K2_O1
1716562337728,%CPU,1.68675%,K2_O1
1716562337821,%MEM,1.5Gi,K2_O1
1716562339462,%CPU,1.21359%,K2_O1
1716562339546,%MEM,1.5Gi,K2_O1
1716562341185,%CPU,1.46341%,K2_O1
1716562341275,%MEM,1.5Gi,K2_O1
1716562342920,%CPU,1.68675%,K2_O1
1716562343011,%MEM,1.5Gi,K2_O1
1716562344665,%CPU,1.92308%,K2_O1
1716562344756,%MEM,1.5Gi,K2_O1
1716562346404,%CPU,2.17391%,K2_O1
1716562346489,%MEM,1.5Gi,K2_O1
1716562348140,%CPU,1.92308%,K2_O1
1716562348228,%MEM,1.5Gi,K2_O1
1716562349896,%CPU,1.70732%,K2_O1
1716562350021,%MEM,1.5Gi,K2_O1
1716562351676,%CPU,2.18447%,K2_O1
1716562351761,%MEM,1.5Gi,K2_O1
1716562353416,%CPU,1.67464%,K2_O1
1716562353506,%MEM,1.5Gi,K2_O1
1716562355159,%CPU,1.21655%,K2_O1
1716562355252,%MEM,1.5Gi,K2_O1
1716562356901,%CPU,1.22249%,K2_O1
1716562356986,%MEM,1.5Gi,K2_O1
1716562358633,%CPU,1.45985%,K2_O1
1716562358715,%MEM,1.5Gi,K2_O1
1716562360352,%CPU,1.69082%,K2_O1
1716562360461,%MEM,1.5Gi,K2_O1
1716562362104,%CPU,1.44928%,K2_O1
1716562362187,%MEM,1.5Gi,K2_O1
1716562363833,%CPU,1.44928%,K2_O1
1716562363917,%MEM,1.5Gi,K2_O1
