type,amount,platform
1716562491710,%CPU,1.96078%,K2_O1
1716562491798,%MEM,1.6Gi,K2_O1
1716562493436,%CPU,1.68675%,K2_O1
1716562493531,%MEM,1.6Gi,K2_O1
1716562495173,%CPU,1.69082%,K2_O1
1716562495274,%MEM,1.6Gi,K2_O1
1716562496922,%CPU,1.92771%,K2_O1
1716562497013,%MEM,1.6Gi,K2_O1
1716562498664,%CPU,1.22249%,K2_O1
1716562498754,%MEM,1.6Gi,K2_O1
1716562500401,%CPU,1.44928%,K2_O1
1716562500491,%MEM,1.6Gi,K2_O1
1716562502142,%CPU,1.93237%,K2_O1
1716562502256,%MEM,1.6Gi,K2_O1
1716562503902,%CPU,1.44928%,K2_O1
1716562503986,%MEM,1.6Gi,K2_O1
1716562505627,%CPU,1.45278%,K2_O1
1716562505712,%MEM,1.6Gi,K2_O1
1716562507363,%CPU,1.92308%,K2_O1
1716562507464,%MEM,1.6Gi,K2_O1
1716562509112,%CPU,1.69082%,K2_O1
1716562509204,%MEM,1.6Gi,K2_O1
1716562510850,%CPU,1.92771%,K2_O1
1716562510948,%MEM,1.6Gi,K2_O1
1716562512595,%CPU,1.22249%,K2_O1
1716562512683,%MEM,1.6Gi,K2_O1
1716562514331,%CPU,1.69492%,K2_O1
1716562514446,%MEM,1.6Gi,K2_O1
1716562516144,%CPU,2.3753%,K2_O1
1716562516253,%MEM,1.6Gi,K2_O1
1716562517908,%CPU,1.20773%,K2_O1
1716562517998,%MEM,1.6Gi,K2_O1
1716562519646,%CPU,2.16346%,K2_O1
1716562519743,%MEM,1.6Gi,K2_O1
1716562521403,%CPU,2.39808%,K2_O1
1716562521499,%MEM,1.6Gi,K2_O1
1716562523152,%CPU,1.45631%,K2_O1
1716562523248,%MEM,1.6Gi,K2_O1
1716562524918,%CPU,1.91847%,K2_O1
1716562525018,%MEM,1.6Gi,K2_O1
1716562526678,%CPU,2.39234%,K2_O1
1716562526781,%MEM,1.5Gi,K2_O1
1716562528434,%CPU,1.44928%,K2_O1
1716562528537,%MEM,1.5Gi,K2_O1
1716562530192,%CPU,1.92771%,K2_O1
1716562530290,%MEM,1.5Gi,K2_O1
1716562531932,%CPU,1.45631%,K2_O1
1716562532018,%MEM,1.5Gi,K2_O1
1716562533660,%CPU,1.45985%,K2_O1
1716562533755,%MEM,1.5Gi,K2_O1
1716562535399,%CPU,1.45631%,K2_O1
1716562535483,%MEM,1.5Gi,K2_O1
1716562537121,%CPU,1.21359%,K2_O1
1716562537211,%MEM,1.5Gi,K2_O1
1716562538856,%CPU,1.91847%,K2_O1
1716562538951,%MEM,1.5Gi,K2_O1
1716562540588,%CPU,1.69082%,K2_O1
1716562540691,%MEM,1.5Gi,K2_O1
1716562542350,%CPU,1.91388%,K2_O1
1716562542452,%MEM,1.5Gi,K2_O1
1716562544115,%CPU,1.90931%,K2_O1
1716562544198,%MEM,1.6Gi,K2_O1
1716562545851,%CPU,2.17918%,K2_O1
1716562545940,%MEM,1.5Gi,K2_O1
