type,amount,platform
1716562673662,%CPU,1.93237%,K2_O1
1716562673747,%MEM,1.5Gi,K2_O1
1716562675404,%CPU,2.15827%,K2_O1
1716562675498,%MEM,1.5Gi,K2_O1
1716562677142,%CPU,1.45985%,K2_O1
1716562677252,%MEM,1.5Gi,K2_O1
1716562678906,%CPU,1.45631%,K2_O1
1716562679014,%MEM,1.5Gi,K2_O1
1716562680686,%CPU,2.38095%,K2_O1
1716562680793,%MEM,1.5Gi,K2_O1
1716562682435,%CPU,1.69082%,K2_O1
1716562682528,%MEM,1.5Gi,K2_O1
1716562684169,%CPU,1.69492%,K2_O1
1716562684271,%MEM,1.5Gi,K2_O1
1716562685919,%CPU,2.17918%,K2_O1
1716562686005,%MEM,1.5Gi,K2_O1
1716562687656,%CPU,1.92771%,K2_O1
1716562687755,%MEM,1.5Gi,K2_O1
1716562689412,%CPU,1.92771%,K2_O1
1716562689515,%MEM,1.5Gi,K2_O1
1716562691159,%CPU,2.19512%,K2_O1
1716562691248,%MEM,1.5Gi,K2_O1
1716562692900,%CPU,1.45278%,K2_O1
1716562692991,%MEM,1.5Gi,K2_O1
1716562694633,%CPU,1.21655%,K2_O1
1716562694721,%MEM,1.5Gi,K2_O1
1716562696362,%CPU,1.69903%,K2_O1
1716562696461,%MEM,1.5Gi,K2_O1
1716562698101,%CPU,1.92308%,K2_O1
1716562698196,%MEM,1.5Gi,K2_O1
1716562699856,%CPU,1.91388%,K2_O1
1716562699950,%MEM,1.5Gi,K2_O1
1716562701607,%CPU,1.94175%,K2_O1
1716562701705,%MEM,1.5Gi,K2_O1
1716562703364,%CPU,1.44928%,K2_O1
1716562703464,%MEM,1.5Gi,K2_O1
1716562705123,%CPU,1.69492%,K2_O1
1716562705227,%MEM,1.5Gi,K2_O1
1716562706885,%CPU,1.93237%,K2_O1
1716562707009,%MEM,1.5Gi,K2_O1
1716562708668,%CPU,1.44578%,K2_O1
1716562708754,%MEM,1.5Gi,K2_O1
1716562710400,%CPU,1.69903%,K2_O1
1716562710494,%MEM,1.5Gi,K2_O1
1716562712144,%CPU,1.92771%,K2_O1
1716562712245,%MEM,1.5Gi,K2_O1
1716562713907,%CPU,1.91388%,K2_O1
1716562713996,%MEM,1.5Gi,K2_O1
1716562715654,%CPU,2.657%,K2_O1
1716562715748,%MEM,1.5Gi,K2_O1
1716562717408,%CPU,1.68675%,K2_O1
1716562717495,%MEM,1.5Gi,K2_O1
1716562719150,%CPU,1.69082%,K2_O1
1716562719255,%MEM,1.5Gi,K2_O1
1716562720914,%CPU,1.93237%,K2_O1
1716562721014,%MEM,1.5Gi,K2_O1
1716562722669,%CPU,1.45278%,K2_O1
1716562722758,%MEM,1.5Gi,K2_O1
1716562724398,%CPU,1.69082%,K2_O1
1716562724492,%MEM,1.5Gi,K2_O1
1716562726145,%CPU,2.17918%,K2_O1
1716562726232,%MEM,1.5Gi,K2_O1
1716562727893,%CPU,1.68675%,K2_O1
1716562727983,%MEM,1.5Gi,K2_O1
