namespace,pod,timestamp,value
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028233.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028234.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028235.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028236.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028237.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028238.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028239.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028240.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028241.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028242.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028243.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028244.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028245.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028246.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028247.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028248.311,54081126.4
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028249.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028250.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028251.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028252.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028253.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028254.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028255.311,53893566.836363636
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028256.311,54117344.96969697
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028257.311,53899301.236363634
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028258.311,53899301.236363634
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028259.311,53899301.236363634
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028260.311,53899301.236363634
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028261.311,53899301.236363634
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028262.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028263.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028264.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028265.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028266.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028267.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028268.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028269.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028270.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028271.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028272.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028273.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028274.311,54092595.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028275.311,54316555.37777777
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028276.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028277.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028278.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028279.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028280.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028281.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028282.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028283.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028284.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028285.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028286.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028287.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028288.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028289.311,54128474.5050505
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028290.311,54021233.777777776
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028291.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028292.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028293.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028294.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028295.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028296.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028297.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028298.311,54045491.2
open-cluster-management,klusterlet-84c5d6fd77-rzx2j,1716028299.311,54045491.2
