DeploymentName,PodName,DeploymentTime,Initialized,PodScheduled,ContainersReady,Ready,DeleteTime,FinalizeDeletionTime
clientsrvr.test.curl.test.0,clientsrvr.test.curl.test.0-86c6544574-d77w7,2024-05-07T10:41:18+02:00,2024-05-07 10:41:18 +0200 CEST,2024-05-07 10:41:18 +0200 CEST,2024-05-07 10:41:20 +0200 CEST,2024-05-07 10:41:20 +0200 CEST,2024-05-07T10:41:24+02:00,2024-05-07T10:41:24+02:00
clientsrvr.test.curl.test.1,clientsrvr.test.curl.test.1-847b446b89-v8xwd,2024-05-07T10:41:18+02:00,2024-05-07 10:41:18 +0200 CEST,2024-05-07 10:41:18 +0200 CEST,2024-05-07 10:41:20 +0200 CEST,2024-05-07 10:41:20 +0200 CEST,2024-05-07T10:41:24+02:00,2024-05-07T10:41:24+02:00
