directoryname,pod-type,value,std_dev
oakestra,Framework Pods,0.01573705384242037,0.0028209290853314
oakestra,Other Pods,0.569885605065736,0.024655415218537504
karmada,Framework Pods,0.003998453473871761,
karmada,Other Pods,0.5416985970510986,0.027402597299356235
ocm,Framework Pods,0.011853901668957487,0.0002459978655312976
ocm,Other Pods,0.4725392868700167,0.02246819244266704
