directoryname,pod-type,value,std_dev
oakestra,Framework Pods,0.0319356978280928,0.0038957928998419717
oakestra,Other Pods,31.533590184660998,1.699936333359971
karmada,Framework Pods,0.005240696843817067,
karmada,Other Pods,19.024312770531168,0.8180886408010628
ocm,Framework Pods,0.015253478257149832,0.0006209001387544903
ocm,Other Pods,12.574359212968302,0.5862360776445547
