framework,Pod,CPU_Usage_Average,CPU_Usage_Variance
karmada,karmada-agent-f95c4fdc6-p88cd,0.0043145795988009,0.0010090045571202835
oakestra,cluster-netmanager-7d98656bc5-q8ng6,0.0012128726261518,0.0002815125300903764
oakestra,mongo-5759468d74-75wk2,0.009722653234657899,0.002340071283283965
oakestra,mosquitto-559ccc5d46-hvrpf,0.001078860669267,0.0003388063718154936
oakestra,node-netmanager-4p4h5,0.0,0.0005175844248130633
oakestra,node-netmanager-9k4lg,0.0,0.0005732350348721616
oakestra,node-netmanager-r2qv7,0.0,0.0005468046501007939
oakestra,node-netmanager-r5kn2,0.0,0.0006169110504915989
oakestra,node-netmanager-rww47,0.0,0.0006118531309176674
oakestra,node-netmanager-zmlln,0.0,0.0005766492939470129
oakestra,oakestra-agent-6775cbd55b-mdhxn,0.0030520680218977,0.0008070970509690361
oakestra,oakestra-controller-manager-d74f6ddf5-rh89f,0.0022259399513007,0.0005383760298756157
ocm,klusterlet-84c5d6fd77-rzx2j,0.0040381818547096,0.0017460379635989166
ocm,klusterlet-registration-agent-84bc7c6b5c-rtrnl,0.004296101397964,0.0009816363789341496
ocm,klusterlet-work-agent-846989bd45-82vkw,0.0039017989512878,0.0008575734507797969
