DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-86,deploy-undeploy-test-86-67bc5dbf84-5d7fc,2024-05-17T12:57:11+02:00,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:13 +0200 CEST,2024-05-17 12:57:13 +0200 CEST,2024-05-17 12:57:13 +0200 CEST,2024-05-17T12:58:34+02:00,2024-05-17T12:58:34+02:00
deploy-undeploy-test-88,deploy-undeploy-test-88-778b46b86b-d95nb,2024-05-17T12:57:12+02:00,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17T12:58:34+02:00,2024-05-17T12:58:35+02:00
deploy-undeploy-test-99,deploy-undeploy-test-99-589649d776-8m5w4,2024-05-17T12:57:18+02:00,2024-05-17 12:57:18 +0200 CEST,2024-05-17 12:57:18 +0200 CEST,2024-05-17 12:57:20 +0200 CEST,2024-05-17 12:57:20 +0200 CEST,2024-05-17 12:57:20 +0200 CEST,2024-05-17T12:58:39+02:00,2024-05-17T12:58:40+02:00
deploy-undeploy-test-11,deploy-undeploy-test-11-54464685dd-m2fch,2024-05-17T12:56:26+02:00,2024-05-17 12:56:26 +0200 CEST,2024-05-17 12:56:26 +0200 CEST,2024-05-17 12:56:28 +0200 CEST,2024-05-17 12:56:28 +0200 CEST,2024-05-17 12:56:28 +0200 CEST,2024-05-17T12:57:58+02:00,2024-05-17T12:57:59+02:00
deploy-undeploy-test-47,deploy-undeploy-test-47-6ff6b88b9-gndsk,2024-05-17T12:56:47+02:00,2024-05-17 12:56:47 +0200 CEST,2024-05-17 12:56:47 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17T12:58:17+02:00,2024-05-17T12:58:18+02:00
deploy-undeploy-test-49,deploy-undeploy-test-49-7d8d596d99-9vrj6,2024-05-17T12:56:48+02:00,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17T12:58:18+02:00,2024-05-17T12:58:19+02:00
deploy-undeploy-test-52,deploy-undeploy-test-52-6d8cc587f9-bwvbq,2024-05-17T12:56:50+02:00,2024-05-17 12:56:50 +0200 CEST,2024-05-17 12:56:50 +0200 CEST,2024-05-17 12:56:52 +0200 CEST,2024-05-17 12:56:52 +0200 CEST,2024-05-17 12:56:52 +0200 CEST,2024-05-17T12:58:20+02:00,2024-05-17T12:58:20+02:00
deploy-undeploy-test-53,deploy-undeploy-test-53-645d944454-hmvsc,2024-05-17T12:56:51+02:00,2024-05-17 12:56:51 +0200 CEST,2024-05-17 12:56:51 +0200 CEST,2024-05-17 12:56:53 +0200 CEST,2024-05-17 12:56:53 +0200 CEST,2024-05-17 12:56:53 +0200 CEST,2024-05-17T12:58:20+02:00,2024-05-17T12:58:21+02:00
deploy-undeploy-test-7,deploy-undeploy-test-7-dc5b5f8c7-tk86j,2024-05-17T12:57:02+02:00,2024-05-17 12:57:02 +0200 CEST,2024-05-17 12:57:02 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17T12:58:27+02:00,2024-05-17T12:58:28+02:00
deploy-undeploy-test-71,deploy-undeploy-test-71-65679d6b54-tp2bm,2024-05-17T12:57:03+02:00,2024-05-17 12:57:03 +0200 CEST,2024-05-17 12:57:03 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17T12:58:28+02:00,2024-05-17T12:58:28+02:00
deploy-undeploy-test-17,deploy-undeploy-test-17-57cb8bcb78-mwsfj,2024-05-17T12:56:29+02:00,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17T12:58:02+02:00,2024-05-17T12:58:02+02:00
deploy-undeploy-test-19,deploy-undeploy-test-19-95c8c8f5b-6rztp,2024-05-17T12:56:30+02:00,2024-05-17 12:56:30 +0200 CEST,2024-05-17 12:56:30 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:32 +0200 CEST,2024-05-17 12:56:32 +0200 CEST,2024-05-17T12:58:03+02:00,2024-05-17T12:58:04+02:00
deploy-undeploy-test-23,deploy-undeploy-test-23-755778c9bc-56pcz,2024-05-17T12:56:33+02:00,2024-05-17 12:56:33 +0200 CEST,2024-05-17 12:56:33 +0200 CEST,2024-05-17 12:56:34 +0200 CEST,2024-05-17 12:56:34 +0200 CEST,2024-05-17 12:56:34 +0200 CEST,2024-05-17T12:58:06+02:00,2024-05-17T12:58:06+02:00
deploy-undeploy-test-25,deploy-undeploy-test-25-7c4785d9b5-vdcqz,2024-05-17T12:56:34+02:00,2024-05-17 12:56:34 +0200 CEST,2024-05-17 12:56:34 +0200 CEST,2024-05-17 12:56:36 +0200 CEST,2024-05-17 12:56:36 +0200 CEST,2024-05-17 12:56:36 +0200 CEST,2024-05-17T12:58:07+02:00,2024-05-17T12:58:08+02:00
deploy-undeploy-test-37,deploy-undeploy-test-37-76c79ddd8d-rs4pq,2024-05-17T12:56:41+02:00,2024-05-17 12:56:41 +0200 CEST,2024-05-17 12:56:41 +0200 CEST,2024-05-17 12:56:43 +0200 CEST,2024-05-17 12:56:43 +0200 CEST,2024-05-17 12:56:43 +0200 CEST,2024-05-17T12:58:13+02:00,2024-05-17T12:58:14+02:00
deploy-undeploy-test-43,deploy-undeploy-test-43-67cd9b54f7-25h4k,2024-05-17T12:56:44+02:00,2024-05-17 12:56:44 +0200 CEST,2024-05-17 12:56:45 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17T12:58:16+02:00,2024-05-17T12:58:17+02:00
deploy-undeploy-test-79,deploy-undeploy-test-79-5757fcb9d-hjz4n,2024-05-17T12:57:07+02:00,2024-05-17 12:57:07 +0200 CEST,2024-05-17 12:57:07 +0200 CEST,2024-05-17 12:57:09 +0200 CEST,2024-05-17 12:57:09 +0200 CEST,2024-05-17 12:57:09 +0200 CEST,2024-05-17T12:58:31+02:00,2024-05-17T12:58:32+02:00
deploy-undeploy-test-98,deploy-undeploy-test-98-757f696697-bcvd2,2024-05-17T12:57:17+02:00,2024-05-17 12:57:17 +0200 CEST,2024-05-17 12:57:17 +0200 CEST,2024-05-17 12:57:19 +0200 CEST,2024-05-17 12:57:19 +0200 CEST,2024-05-17 12:57:19 +0200 CEST,2024-05-17T12:58:39+02:00,2024-05-17T12:58:39+02:00
