pod,instance,timestamp,value
calico-node-gwvg9,10.100.253.191:10250,1716813798.107,74095274.66666667
calico-node-gwvg9,10.100.253.191:10250,1716813799.107,74095274.66666667
calico-node-gwvg9,10.100.253.191:10250,1716813800.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813801.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813802.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813803.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813804.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813805.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813806.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813807.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813808.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813809.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813810.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813811.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813812.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813813.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813814.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813815.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813816.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813817.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813818.107,74134869.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813819.107,76715349.33333334
calico-node-gwvg9,10.100.253.191:10250,1716813820.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813821.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813822.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813823.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813824.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813825.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813826.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813827.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813828.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813829.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813830.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813831.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813832.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813833.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813834.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813835.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813836.107,76738560
calico-node-gwvg9,10.100.253.191:10250,1716813837.107,76738560
