namespace,pod,timestamp,value
kube-system,kube-apiserver-kubernetes-1,1715934409.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934410.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934411.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934412.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934413.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934414.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934415.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934416.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934417.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934418.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934419.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934420.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934421.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934422.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934423.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934424.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934425.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934426.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934427.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934428.494,977059840
kube-system,kube-apiserver-kubernetes-1,1715934429.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934430.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934431.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934432.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934433.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934434.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934435.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934436.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934437.494,956428288
kube-system,kube-apiserver-kubernetes-1,1715934438.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934439.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934440.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934441.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934442.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934443.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934444.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934445.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934446.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934447.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934448.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934449.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934450.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934451.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934452.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934453.494,935661568
kube-system,kube-apiserver-kubernetes-1,1715934454.494,935661568
