pod,container,namespace,timestamp,value
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936173.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936174.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936175.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936176.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936177.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936178.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936179.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936180.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936181.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936182.472,4171.819262782402
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936183.472,3180.5950059453035
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936184.472,3111.0646848989304
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936185.472,3041.534363852557
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936186.472,2972.0040428061834
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936187.472,2902.47372175981
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936188.472,2832.9434007134364
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936189.472,2763.4130796670634
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936190.472,2693.88275862069
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936191.472,2624.352437574317
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936192.472,2554.8221165279433
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936193.472,2485.29179548157
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936195.472,5105.408824924877
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936196.472,5105.408824924877
