DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-84,deploy-undeploy-test-84-74b9894c86-ktj5p,2024-05-18T12:06:18+02:00,2024-05-18 12:06:28 +0200 CEST,2024-05-18 12:06:28 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18T12:08:06+02:00,2024-05-18T12:08:06+02:00
deploy-undeploy-test-98,deploy-undeploy-test-98-757f696697-2wh4c,2024-05-18T12:06:25+02:00,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:38 +0200 CEST,2024-05-18 12:06:39 +0200 CEST,2024-05-18 12:06:39 +0200 CEST,2024-05-18T12:08:21+02:00,2024-05-18T12:08:21+02:00
deploy-undeploy-test-13,deploy-undeploy-test-13-5c446dcff4-gjwk6,2024-05-18T12:05:41+02:00,2024-05-18 12:05:41 +0200 CEST,2024-05-18 12:05:41 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18T12:07:02+02:00,2024-05-18T12:07:03+02:00
deploy-undeploy-test-42,deploy-undeploy-test-42-75cc69d58d-pg9c5,2024-05-18T12:05:55+02:00,2024-05-18 12:06:00 +0200 CEST,2024-05-18 12:06:00 +0200 CEST,2024-05-18 12:06:02 +0200 CEST,2024-05-18 12:06:02 +0200 CEST,2024-05-18 12:06:02 +0200 CEST,2024-05-18T12:07:23+02:00,2024-05-18T12:07:24+02:00
deploy-undeploy-test-58,deploy-undeploy-test-58-584d44dbb9-5lchn,2024-05-18T12:06:04+02:00,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:12 +0200 CEST,2024-05-18 12:06:12 +0200 CEST,2024-05-18 12:06:12 +0200 CEST,2024-05-18T12:07:37+02:00,2024-05-18T12:07:37+02:00
deploy-undeploy-test-61,deploy-undeploy-test-61-7b666b98fc-mfx2g,2024-05-18T12:06:06+02:00,2024-05-18 12:06:13 +0200 CEST,2024-05-18 12:06:13 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18T12:07:41+02:00,2024-05-18T12:07:42+02:00
deploy-undeploy-test-63,deploy-undeploy-test-63-68489ddb9f-2jpwr,2024-05-18T12:06:07+02:00,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18T12:07:43+02:00,2024-05-18T12:07:44+02:00
deploy-undeploy-test-78,deploy-undeploy-test-78-5574cfc895-nqrrv,2024-05-18T12:06:15+02:00,2024-05-18 12:06:24 +0200 CEST,2024-05-18 12:06:24 +0200 CEST,2024-05-18 12:06:25 +0200 CEST,2024-05-18 12:06:26 +0200 CEST,2024-05-18 12:06:26 +0200 CEST,2024-05-18T12:08:00+02:00,2024-05-18T12:08:00+02:00
deploy-undeploy-test-85,deploy-undeploy-test-85-74f96d5dcf-t7cs7,2024-05-18T12:06:18+02:00,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18 12:06:30 +0200 CEST,2024-05-18T12:08:08+02:00,2024-05-18T12:08:08+02:00
deploy-undeploy-test-89,deploy-undeploy-test-89-85bb859cdc-8vrtn,2024-05-18T12:06:20+02:00,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:33 +0200 CEST,2024-05-18 12:06:33 +0200 CEST,2024-05-18 12:06:33 +0200 CEST,2024-05-18T12:08:12+02:00,2024-05-18T12:08:11+02:00
deploy-undeploy-test-19,deploy-undeploy-test-19-95c8c8f5b-dsq5k,2024-05-18T12:05:43+02:00,2024-05-18 12:05:44 +0200 CEST,2024-05-18 12:05:44 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18T12:07:07+02:00,2024-05-18T12:07:07+02:00
deploy-undeploy-test-93,deploy-undeploy-test-93-c989864cd-qfjw5,2024-05-18T12:06:23+02:00,2024-05-18 12:06:35 +0200 CEST,2024-05-18 12:06:35 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18T12:08:16+02:00,2024-05-18T12:08:16+02:00
deploy-undeploy-test-22,deploy-undeploy-test-22-6b8d4f7898-ftqtc,2024-05-18T12:05:45+02:00,2024-05-18 12:05:46 +0200 CEST,2024-05-18 12:05:46 +0200 CEST,2024-05-18 12:05:48 +0200 CEST,2024-05-18 12:05:48 +0200 CEST,2024-05-18 12:05:48 +0200 CEST,2024-05-18T12:07:10+02:00,2024-05-18T12:07:11+02:00
deploy-undeploy-test-29,deploy-undeploy-test-29-6d5fd994d9-hllxp,2024-05-18T12:05:47+02:00,2024-05-18 12:05:51 +0200 CEST,2024-05-18 12:05:51 +0200 CEST,2024-05-18 12:05:53 +0200 CEST,2024-05-18 12:05:53 +0200 CEST,2024-05-18 12:05:53 +0200 CEST,2024-05-18T12:07:14+02:00,2024-05-18T12:07:14+02:00
deploy-undeploy-test-33,deploy-undeploy-test-33-77c9fcfb96-6gbjv,2024-05-18T12:05:49+02:00,2024-05-18 12:05:54 +0200 CEST,2024-05-18 12:05:54 +0200 CEST,2024-05-18 12:05:56 +0200 CEST,2024-05-18 12:05:56 +0200 CEST,2024-05-18 12:05:56 +0200 CEST,2024-05-18T12:07:15+02:00,2024-05-18T12:07:16+02:00
deploy-undeploy-test-40,deploy-undeploy-test-40-df595b56b-4mrrc,2024-05-18T12:05:53+02:00,2024-05-18 12:05:59 +0200 CEST,2024-05-18 12:05:59 +0200 CEST,2024-05-18 12:06:01 +0200 CEST,2024-05-18 12:06:01 +0200 CEST,2024-05-18 12:06:01 +0200 CEST,2024-05-18T12:07:21+02:00,2024-05-18T12:07:22+02:00
deploy-undeploy-test-70,deploy-undeploy-test-70-6fc55499c5-95bbm,2024-05-18T12:06:11+02:00,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:21 +0200 CEST,2024-05-18 12:06:21 +0200 CEST,2024-05-18 12:06:21 +0200 CEST,2024-05-18T12:07:51+02:00,2024-05-18T12:07:51+02:00
deploy-undeploy-test-96,deploy-undeploy-test-96-5c555b44c9-66vgq,2024-05-18T12:06:24+02:00,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18T12:08:19+02:00,2024-05-18T12:08:19+02:00
deploy-undeploy-test-100,deploy-undeploy-test-100-f65d49475-x7p4d,2024-05-18T12:05:39+02:00,2024-05-18 12:05:39 +0200 CEST,2024-05-18 12:05:39 +0200 CEST,2024-05-18 12:05:41 +0200 CEST,2024-05-18 12:05:42 +0200 CEST,2024-05-18 12:05:42 +0200 CEST,2024-05-18T12:07:00+02:00,2024-05-18T12:07:01+02:00
deploy-undeploy-test-20,deploy-undeploy-test-20-5968558f44-n52wf,2024-05-18T12:05:44+02:00,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18T12:07:09+02:00,2024-05-18T12:07:10+02:00
deploy-undeploy-test-37,deploy-undeploy-test-37-76c79ddd8d-949v9,2024-05-18T12:05:51+02:00,2024-05-18 12:05:57 +0200 CEST,2024-05-18 12:05:57 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18T12:07:18+02:00,2024-05-18T12:07:18+02:00
deploy-undeploy-test-46,deploy-undeploy-test-46-7857dbc84d-r8b2x,2024-05-18T12:05:57+02:00,2024-05-18 12:06:03 +0200 CEST,2024-05-18 12:06:03 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18T12:07:27+02:00,2024-05-18T12:07:29+02:00
deploy-undeploy-test-2,deploy-undeploy-test-2-59f845d58d-mww4x,2024-05-18T12:05:44+02:00,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18T12:07:08+02:00,2024-05-18T12:07:09+02:00
deploy-undeploy-test-60,deploy-undeploy-test-60-5cd8d5b564-vwqdt,2024-05-18T12:06:05+02:00,2024-05-18 12:06:12 +0200 CEST,2024-05-18 12:06:12 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18T12:07:40+02:00,2024-05-18T12:07:40+02:00
deploy-undeploy-test-66,deploy-undeploy-test-66-57ff59bdb-jt6fk,2024-05-18T12:06:08+02:00,2024-05-18 12:06:16 +0200 CEST,2024-05-18 12:06:16 +0200 CEST,2024-05-18 12:06:18 +0200 CEST,2024-05-18 12:06:18 +0200 CEST,2024-05-18 12:06:18 +0200 CEST,2024-05-18T12:07:46+02:00,2024-05-18T12:07:46+02:00
deploy-undeploy-test-82,deploy-undeploy-test-82-8666956c56-skkvm,2024-05-18T12:06:17+02:00,2024-05-18 12:06:27 +0200 CEST,2024-05-18 12:06:27 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18T12:08:05+02:00,2024-05-18T12:08:06+02:00
deploy-undeploy-test-94,deploy-undeploy-test-94-848f5cc9d9-spw65,2024-05-18T12:06:23+02:00,2024-05-18 12:06:35 +0200 CEST,2024-05-18 12:06:35 +0200 CEST,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:36 +0200 CEST,2024-05-18 12:06:36 +0200 CEST,2024-05-18T12:08:17+02:00,2024-05-18T12:08:17+02:00
deploy-undeploy-test-39,deploy-undeploy-test-39-58c888cdf8-77tgt,2024-05-18T12:05:52+02:00,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:06:00 +0200 CEST,2024-05-18 12:06:00 +0200 CEST,2024-05-18 12:06:00 +0200 CEST,2024-05-18T12:07:20+02:00,2024-05-18T12:07:20+02:00
deploy-undeploy-test-25,deploy-undeploy-test-25-7c4785d9b5-plfqm,2024-05-18T12:05:46+02:00,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:50 +0200 CEST,2024-05-18T12:07:12+02:00,2024-05-18T12:07:13+02:00
deploy-undeploy-test-27,deploy-undeploy-test-27-58d6995b87-bj6lp,2024-05-18T12:05:47+02:00,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18T12:07:13+02:00,2024-05-18T12:07:14+02:00
deploy-undeploy-test-30,deploy-undeploy-test-30-df6b5cd67-c9l7v,2024-05-18T12:05:48+02:00,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:54 +0200 CEST,2024-05-18 12:05:54 +0200 CEST,2024-05-18 12:05:54 +0200 CEST,2024-05-18T12:07:15+02:00,2024-05-18T12:07:16+02:00
deploy-undeploy-test-36,deploy-undeploy-test-36-84bb59c6f-bzz6r,2024-05-18T12:05:51+02:00,2024-05-18 12:05:56 +0200 CEST,2024-05-18 12:05:56 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18T12:07:17+02:00,2024-05-18T12:07:17+02:00
deploy-undeploy-test-48,deploy-undeploy-test-48-58f8779474-8g99c,2024-05-18T12:05:58+02:00,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18T12:07:28+02:00,2024-05-18T12:07:29+02:00
deploy-undeploy-test-57,deploy-undeploy-test-57-845769b64b-v9n7f,2024-05-18T12:06:03+02:00,2024-05-18 12:06:10 +0200 CEST,2024-05-18 12:06:10 +0200 CEST,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:11 +0200 CEST,2024-05-18T12:07:36+02:00,2024-05-18T12:07:36+02:00
deploy-undeploy-test-62,deploy-undeploy-test-62-79bc4fc886-fvtzg,2024-05-18T12:06:06+02:00,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:14 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18T12:07:42+02:00,2024-05-18T12:07:43+02:00
deploy-undeploy-test-14,deploy-undeploy-test-14-6ffd964485-ndfsm,2024-05-18T12:05:41+02:00,2024-05-18 12:05:41 +0200 CEST,2024-05-18 12:05:41 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18T12:07:02+02:00,2024-05-18T12:07:03+02:00
deploy-undeploy-test-81,deploy-undeploy-test-81-7c748bf5dc-2k88n,2024-05-18T12:06:17+02:00,2024-05-18 12:06:26 +0200 CEST,2024-05-18 12:06:26 +0200 CEST,2024-05-18 12:06:28 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18T12:08:04+02:00,2024-05-18T12:08:05+02:00
