DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy.evaluation.gosigterm.evaluation.82,deploy.evaluation.gosigterm.evaluation.82-6bc5bdbf7d-6cnpm,2024-05-30T15:50:04+02:00,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:13 +0200 CEST,2024-05-30 15:50:13 +0200 CEST,2024-05-30 15:50:13 +0200 CEST,2024-05-30T15:51:25+02:00,2024-05-30T15:51:29+02:00
deploy.evaluation.gosigterm.evaluation.8,deploy.evaluation.gosigterm.evaluation.8-74db8649bd-9479n,2024-05-30T15:49:14+02:00,2024-05-30 15:49:15 +0200 CEST,2024-05-30 15:49:15 +0200 CEST,2024-05-30 15:49:17 +0200 CEST,2024-05-30 15:49:17 +0200 CEST,2024-05-30 15:49:17 +0200 CEST,2024-05-30T15:50:54+02:00,2024-05-30T15:51:02+02:00
deploy.evaluation.gosigterm.evaluation.96,deploy.evaluation.gosigterm.evaluation.96-5f65568758-nwfl9,2024-05-30T15:50:13+02:00,2024-05-30 15:50:22 +0200 CEST,2024-05-30 15:50:22 +0200 CEST,2024-05-30 15:50:23 +0200 CEST,2024-05-30 15:50:23 +0200 CEST,2024-05-30 15:50:23 +0200 CEST,2024-05-30T15:51:31+02:00,2024-05-30T15:51:33+02:00
deploy.evaluation.gosigterm.evaluation.99,deploy.evaluation.gosigterm.evaluation.99-855f8657f4-mc72t,2024-05-30T15:50:20+02:00,2024-05-30 15:50:27 +0200 CEST,2024-05-30 15:50:27 +0200 CEST,2024-05-30 15:50:29 +0200 CEST,2024-05-30 15:50:29 +0200 CEST,2024-05-30 15:50:29 +0200 CEST,2024-05-30T15:51:32+02:00,2024-05-30T15:51:34+02:00
deploy.evaluation.gosigterm.evaluation.83,deploy.evaluation.gosigterm.evaluation.83-6cd79947db-b6r6k,2024-05-30T15:50:05+02:00,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30T15:51:26+02:00,2024-05-30T15:51:30+02:00
deploy.evaluation.gosigterm.evaluation.20,deploy.evaluation.gosigterm.evaluation.20-86f5bc7458-wlrb4,2024-05-30T15:49:22+02:00,2024-05-30 15:49:23 +0200 CEST,2024-05-30 15:49:23 +0200 CEST,2024-05-30 15:49:25 +0200 CEST,2024-05-30 15:49:25 +0200 CEST,2024-05-30 15:49:25 +0200 CEST,2024-05-30T15:50:59+02:00,2024-05-30T15:51:07+02:00
deploy.evaluation.gosigterm.evaluation.22,deploy.evaluation.gosigterm.evaluation.22-db6d98654-cl24l,2024-05-30T15:49:22+02:00,2024-05-30 15:49:24 +0200 CEST,2024-05-30 15:49:24 +0200 CEST,2024-05-30 15:49:26 +0200 CEST,2024-05-30 15:49:27 +0200 CEST,2024-05-30 15:49:27 +0200 CEST,2024-05-30T15:51:00+02:00,2024-05-30T15:51:07+02:00
deploy.evaluation.gosigterm.evaluation.30,deploy.evaluation.gosigterm.evaluation.30-6ccd7fb6d6-n8hv7,2024-05-30T15:49:31+02:00,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30T15:51:04+02:00,2024-05-30T15:51:11+02:00
deploy.evaluation.gosigterm.evaluation.44,deploy.evaluation.gosigterm.evaluation.44-698494f56b-72lt2,2024-05-30T15:49:39+02:00,2024-05-30 15:49:42 +0200 CEST,2024-05-30 15:49:42 +0200 CEST,2024-05-30 15:49:44 +0200 CEST,2024-05-30 15:49:44 +0200 CEST,2024-05-30 15:49:44 +0200 CEST,2024-05-30T15:51:09+02:00,2024-05-30T15:51:17+02:00
deploy.evaluation.gosigterm.evaluation.62,deploy.evaluation.gosigterm.evaluation.62-6597d8c49d-j9j6t,2024-05-30T15:49:48+02:00,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30T15:51:17+02:00,2024-05-30T15:51:21+02:00
deploy.evaluation.gosigterm.evaluation.64,deploy.evaluation.gosigterm.evaluation.64-bcdd4d4f8-rp8bq,2024-05-30T15:49:49+02:00,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30T15:51:18+02:00,2024-05-30T15:51:21+02:00
deploy.evaluation.gosigterm.evaluation.0,deploy.evaluation.gosigterm.evaluation.0-7959f7596d-wc5tx,2024-05-30T15:49:12+02:00,2024-05-30 15:49:12 +0200 CEST,2024-05-30 15:49:12 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30T15:50:53+02:00,2024-05-30T15:50:57+02:00
